stable_code,source_identity,name_en,name_ko,met_source_activity_description,met_source_activity_code,met_value,met_mapping_method_code,met_review_status_code,met_policy_version,mapping_rationale,source_file_path
ankle_circles_mobility_stretch_bodyweight,1368,ankle circles,발목 돌리기,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
butterfly_adductor_stretch_mobility_stretch_bodyweight,1494,butterfly yoga pose,나비자세,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
cardio_gait_machine_rex_000071,2311,walking on stepmill,스텝밀 머신(천국의 계단),"Stair treadmill ergometer, general",02065,9.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,GIF와 운동명이 계단형 트레드밀 수행을 직접 나타내며 원천 activity와 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
chair_leg_extended_stretch_mobility_stretch_bodyweight,1548,chair leg extended stretch,시티드 레그 익스텐션 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
chest_front_shoulder_stretch_mobility_stretch_bodyweight,1271,chest and front of shoulder stretch,가슴·어깨 앞면 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
dynamic_chest_stretch_mobility_stretch_bodyweight,1167,dynamic chest stretch (male),다이내믹 가슴 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,1559,exercise ball hip flexor stretch,짐볼 고관절 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
hamstring_stretch_mobility_stretch_bodyweight,1511,hamstring stretch,햄스트링 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
kneeling_lat_stretch_mobility_stretch_bodyweight,1346,kneeling lat stretch,무릎 꿇고 광배근 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
neck_lateral_stretch_mobility_stretch_bodyweight,1403,neck side stretch,목 옆면 스트레칭,"Stretching, mild",02101,2.3,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
