stable_code,source_identity,name_en,name_ko,met_value,met_source_code,met_source_activity_code,met_source_activity_description,met_mapping_method_code,met_review_status_code,met_policy_version,mapping_rationale,source_file_path
ankle_circles_mobility_stretch_bodyweight,1368,ankle circles,발목 돌리기,2.3,ADULT_COMPENDIUM_PDF_2024,02101,"Stretching, mild",DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,정적 또는 저강도 가동성 스트레칭이며 신체 부위와 보조 도구가 달라도 원천의 stretching 활동 유형과 직접 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,1369,band two legs calf raise - (band under both legs),밴드 카프레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
barbell_deadlift_hip_dominant_barbell,0032,barbell deadlift,바벨 데드리프트,5.0,ADULT_COMPENDIUM_PDF_2024,02052,"Resistance (weight) training, squats, deadlift, slow or explosive effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량을 사용하는 스쿼트·데드리프트 또는 유사한 하체 저항운동으로 원천의 weight training activity와 동작 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
barbell_front_raise_isolation_barbell,0041,barbell front raise,바벨 프론트 레이즈,3.5,ADULT_COMPENDIUM_PDF_2024,02054,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량 장비를 사용하는 반복형 저항운동으로 원천의 varied resistance training activity와 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
barbell_straight_leg_deadlift_hip_dominant_barbell,0116,barbell straight leg deadlift,바벨 루마니안 데드리프트,5.0,ADULT_COMPENDIUM_PDF_2024,02052,"Resistance (weight) training, squats, deadlift, slow or explosive effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,중량을 사용하는 스쿼트·데드리프트 또는 유사한 하체 저항운동으로 원천의 weight training activity와 동작 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_back_extension_hip_dominant_bodyweight,0489,hyperextension,백 익스텐션,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_crunch_core_brace_bodyweight,0274,crunch floor,크런치,2.8,ADULT_COMPENDIUM_PDF_2024,02024,"Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 코어 운동이며 crunch curl-up plank 계열을 명시한 원천 활동과 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_forward_lunge_knee_dominant_bodyweight,3470,forward lunge (male),포워드 런지,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_glute_bridge_hip_dominant_bodyweight,3013,low glute bridge on floor,글루트 브리지,2.8,ADULT_COMPENDIUM_PDF_2024,02024,"Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 코어 운동이며 crunch curl-up plank 계열을 명시한 원천 활동과 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,0140,biceps pull-up,풀업,3.0,ADULT_COMPENDIUM_PDF_2024,02056,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0,반복형 맨몸 저항운동으로 원천의 일반 맨몸 저항운동과 장비와 수행 형태가 대응합니다.,data/raw/physical_activity_guidelines/adult_compendium_mvp_reference_subset.jsonl
