representative_id,exercise_name_ko,taxonomy_review_status,review_required_codes,content_description_required_present,content_description_resolution,safety_rule_required_present,safety_rule_resolution,content_review_status,safety_review_status,unresolved_review_required_codes,source_ids
REX-000001,복부 브레이싱,TAXONOMY_APPROVED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_DOSAGE_UNSPECIFIED,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_DOSAGE_UNSPECIFIED,kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7
REX-000002,네발기기 스쿼트 스트레칭,TAXONOMY_APPROVED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,gymvisual:1512
REX-000003,발목 돌리기,TAXONOMY_APPROVED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,gymvisual:1368
REX-000004,데드리프트,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_FAMILY_BOUNDARY_REVIEW|EXERCISE_TAXONOMY_MAPPING_REQUIRED|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,gymvisual:0032|gymvisual:0300|wger:1370|wger:1612
REX-000005,프론트 레이즈,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,gymvisual:0041|gymvisual:0309|gymvisual:0310|gymvisual:0335|gymvisual:0387|gymvisual:0978
REX-000006,풀오버,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,gymvisual:0034|gymvisual:0037|gymvisual:0073|gymvisual:0184|gymvisual:2285|gymvisual:3010
REX-000007,루마니안 데드리프트,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_FAMILY_BOUNDARY_REVIEW|EXERCISE_TAXONOMY_MAPPING_REQUIRED|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,gymvisual:0116|gymvisual:0432|gymvisual:0434|gymvisual:1009|gymvisual:1023|wger:1652|wger:507
REX-000008,백 익스텐션,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,gymvisual:0489
REX-000009,크런치,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,gymvisual:0274|gymvisual:0277
REX-000010,포워드 런지,TAXONOMY_APPROVED,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,false,NOT_PRESENT,false,NOT_PRESENT,GENERATED_CONTENT_REVIEW_REQUIRED,DOMAIN_REVIEW_REQUIRED,BEGINNER_SUITABILITY_REVIEW|EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,gymvisual:0336|gymvisual:0381|gymvisual:0536|gymvisual:1460|gymvisual:3470|gymvisual:3635
