representative_id,exercise_name_ko,short_description,target_muscle,difficulty,how_to_steps,common_mistakes,source_ids,taxonomy_review_status,generation_basis_code,content_review_status
REX-000001,복부 브레이싱,복부 브레이싱 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,BEGINNER,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:ABS_CORE_BRACE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000002,네발기기 스쿼트 스트레칭,네발기기 스쿼트 스트레칭 운동은 무릎·고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,INTERMEDIATE,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1512,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:ALL_FOURS_SQUAT_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000003,발목 돌리기,발목 돌리기 운동은 발목과 발 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1368,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:ANKLE_CIRCLES,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000004,데드리프트,데드리프트 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,GLUTES,INTERMEDIATE,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]","[""등을 둥글게 말거나 목을 과하게 든다."",""허리를 꺾어 끝 범위를 만든다."",""기구를 흔들거나 반동으로 들어 올린다.""]",gymvisual:0032|gymvisual:0300|wger:1370|wger:1612,TAXONOMY_APPROVED,TAXONOMY:HIP_DOMINANT|NAME:BARBELL_DEADLIFT,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000005,프론트 레이즈,프론트 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,SHOULDERS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0041|gymvisual:0309|gymvisual:0310|gymvisual:0335|gymvisual:0387|gymvisual:0978,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:BARBELL_FRONT_RAISE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000006,풀오버,풀오버 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,BACK,INTERMEDIATE,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0034|gymvisual:0037|gymvisual:0073|gymvisual:0184|gymvisual:2285|gymvisual:3010,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:BARBELL_PULLOVER,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000007,루마니안 데드리프트,루마니안 데드리프트 운동은 엉덩이를 뒤로 보내며 허벅지 뒤쪽을 사용하는 운동입니다.,HAMSTRINGS,INTERMEDIATE,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]","[""등을 둥글게 말거나 목을 과하게 든다."",""허리를 꺾어 끝 범위를 만든다."",""기구를 흔들거나 반동으로 들어 올린다.""]",gymvisual:0116|gymvisual:0432|gymvisual:0434|gymvisual:1009|gymvisual:1023|wger:1652|wger:507,TAXONOMY_APPROVED,TAXONOMY:HIP_DOMINANT|NAME:BARBELL_STRAIGHT_LEG_DEADLIFT,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000008,백 익스텐션,백 익스텐션 운동은 엉덩이를 뒤로 보내며 등을 사용하는 운동입니다.,BACK,INTERMEDIATE,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]","[""등을 둥글게 말거나 목을 과하게 든다."",""허리를 꺾어 끝 범위를 만든다."",""기구를 흔들거나 반동으로 들어 올린다.""]",gymvisual:0489,TAXONOMY_APPROVED,TAXONOMY:HIP_DOMINANT|NAME:BODYWEIGHT_BACK_EXTENSION,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000009,크런치,크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,BEGINNER,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",gymvisual:0274|gymvisual:0277,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:BODYWEIGHT_CRUNCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000010,포워드 런지,포워드 런지 운동은 다리를 굽혔다 펴며 엉덩이를 사용하는 운동입니다.,GLUTES,INTERMEDIATE,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]","[""발바닥이 들리거나 무릎이 안쪽으로 무너진다."",""반동으로 빠르게 내려갔다 올라온다."",""자신이 조절하기 어려운 깊이까지 내려간다.""]",gymvisual:0336|gymvisual:0381|gymvisual:0536|gymvisual:1460|gymvisual:3470|gymvisual:3635,TAXONOMY_APPROVED,TAXONOMY:KNEE_DOMINANT|NAME:BODYWEIGHT_FORWARD_LUNGE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000011,글루트 브리지,글루트 브리지 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,GLUTES,BEGINNER,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]","[""등을 둥글게 말거나 목을 과하게 든다."",""허리를 꺾어 끝 범위를 만든다."",""기구를 흔들거나 반동으로 들어 올린다.""]",gymvisual:3013,TAXONOMY_APPROVED,TAXONOMY:HIP_DOMINANT|NAME:BODYWEIGHT_GLUTE_BRIDGE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000012,풀업,풀업 운동은 팔꿈치를 아래로 당기며 팔 앞쪽을 사용하는 운동입니다.,BICEPS,INTERMEDIATE,"[""손잡이를 안정적으로 잡고 몸을 준비한다."",""어깨를 내린 채 팔꿈치를 아래로 당긴다."",""조절할 수 있는 범위까지만 당긴다."",""팔을 천천히 펴며 시작 위치로 돌아온다.""]","[""몸을 크게 흔들어 당긴다."",""어깨를 귀 쪽으로 올린다."",""팔을 갑자기 놓아 기구가 튕긴다.""]",gymvisual:0140,TAXONOMY_APPROVED,TAXONOMY:VERTICAL_PULL|NAME:BODYWEIGHT_PULL_UP_BICEPS,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000013,리버스 크런치,리버스 크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,BEGINNER,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",gymvisual:0242|gymvisual:0807|gymvisual:0872|gymvisual:0873|gymvisual:2206,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:BODYWEIGHT_REVERSE_CRUNCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000014,러시안 트위스트,러시안 트위스트 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,INTERMEDIATE,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",gymvisual:0211|gymvisual:0687|gymvisual:0845|gymvisual:0846|gymvisual:2371,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:BODYWEIGHT_RUSSIAN_TWIST,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000015,스플릿 스쿼트,스플릿 스쿼트 운동은 다리를 굽혔다 펴며 허벅지 앞쪽을 사용하는 운동입니다.,QUADRICEPS,INTERMEDIATE,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]","[""발바닥이 들리거나 무릎이 안쪽으로 무너진다."",""반동으로 빠르게 내려갔다 올라온다."",""자신이 조절하기 어려운 깊이까지 내려간다.""]",gymvisual:2368|wger:1706,TAXONOMY_APPROVED,TAXONOMY:KNEE_DOMINANT|NAME:BODYWEIGHT_SPLIT_SQUAT,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000016,스탠딩 카프 레이즈,스탠딩 카프 레이즈 운동은 다른 부위의 움직임을 줄이고 종아리를 집중해 사용하는 운동입니다.,CALVES,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0409|gymvisual:0999|gymvisual:1369|gymvisual:1373|gymvisual:1386|gymvisual:1387,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:BODYWEIGHT_STANDING_CALF_RAISE,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000017,버터플라이 스트레칭,버터플라이 스트레칭 운동은 고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1494,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:BUTTERFLY_ADDUCTOR_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000018,케이블 플라이,케이블 플라이 운동은 다른 부위의 움직임을 줄이고 가슴을 집중해 사용하는 운동입니다.,CHEST,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0158|gymvisual:0170|gymvisual:0171|gymvisual:0185|gymvisual:0227|gymvisual:1262,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:CABLE_FLY,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000019,케이블 트라이셉스 푸시다운,케이블 트라이셉스 푸시다운 운동은 다른 부위의 움직임을 줄이고 팔 뒤쪽을 집중해 사용하는 운동입니다.,TRICEPS,BEGINNER,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]","[""몸을 흔들어 반동을 만든다."",""다른 부위까지 크게 움직인다."",""기구를 빠르게 내려놓는다.""]",gymvisual:0201,TAXONOMY_APPROVED,TAXONOMY:ISOLATION|NAME:CABLE_TRICEPS_PUSHDOWN,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000020,의자 다리 스트레칭,의자 다리 스트레칭 운동은 무릎 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1548,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:CHAIR_LEG_EXTENDED_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000021,가슴·어깨 앞면 스트레칭,가슴·어깨 앞면 스트레칭 운동은 가슴·어깨 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,MOBILITY,BEGINNER,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""반동을 주며 빠르게 흔든다."",""당김이 큰 범위까지 억지로 늘린다."",""숨을 참은 채 오래 버틴다.""]",gymvisual:1271,TAXONOMY_APPROVED,TAXONOMY:MOBILITY_STRETCH|NAME:CHEST_FRONT_SHOULDER_STRETCH,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000022,클로즈 그립 푸시업,클로즈 그립 푸시업 운동은 팔을 앞으로 밀어 팔 뒤쪽을 사용하는 운동입니다.,TRICEPS,BEGINNER,"[""손과 발 또는 기구를 안정적으로 준비한다."",""어깨가 으쓱하지 않게 팔을 천천히 밀어낸다."",""팔꿈치를 조절할 수 있는 범위에서 굽힌다."",""천천히 처음 위치로 돌아온다.""]","[""어깨를 귀 쪽으로 올린다."",""팔꿈치를 갑자기 잠그거나 크게 벌린다."",""몸통이 흔들리는데도 반복을 이어간다.""]",gymvisual:0259,TAXONOMY_APPROVED,TAXONOMY:HORIZONTAL_PUSH|NAME:CLOSE_GRIP_PUSH_UP,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000023,사이드 크런치,사이드 크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,BEGINNER,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",gymvisual:0691,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:CRUNCH_VARIANT,GENERATED_CONTENT_REVIEW_REQUIRED
REX-000024,데드버그,데드버그 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,CORE,BEGINNER,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]","[""허리나 몸통이 크게 흔들린다."",""호흡을 멈춘 채 힘을 준다."",""속도를 높여 움직임 범위를 과하게 넓힌다.""]",gymvisual:0276,TAXONOMY_APPROVED,TAXONOMY:CORE_BRACE|NAME:DEAD_BUG,GENERATED_CONTENT_REVIEW_REQUIRED
