representative_id,exercise_name_ko,risk_area,safety_rule,avoid_condition,alternative_reason,source_ids,taxonomy_review_status,generation_basis_code,safety_review_status
REX-000001,복부 브레이싱,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000002,네발기기 스쿼트 스트레칭,무릎·고관절 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1512,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000003,발목 돌리기,발목과 발 주변과 인접 관절,"반동 없이 천천히 움직이고, 당김이 커지기 전의 범위에서 멈춘다.",해당 부위에 통증이 있거나 움직일수록 불편이 커지면 동작을 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:1368,TAXONOMY_APPROVED,MOVEMENT_PATTERN:MOBILITY_STRETCH,DOMAIN_REVIEW_REQUIRED
REX-000004,데드리프트,허리·엉덩이·뒤쪽 다리,등과 목을 편안히 두고 엉덩이를 뒤로 보내며 조절 가능한 범위에서 수행한다.,허리나 뒤쪽 다리의 불편이 커지거나 등을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0032|gymvisual:0300|wger:1370|wger:1612,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HIP_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000005,프론트 레이즈,어깨·팔꿈치,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0041|gymvisual:0309|gymvisual:0310|gymvisual:0335|gymvisual:0387|gymvisual:0978,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000006,풀오버,사용 부위와 인접 관절,기구를 안정적으로 잡고 다른 부위의 반동을 줄인 채 조절 가능한 범위에서 수행한다.,사용 부위나 인접 관절의 불편이 커지거나 기구를 조절하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0034|gymvisual:0037|gymvisual:0073|gymvisual:0184|gymvisual:2285|gymvisual:3010,TAXONOMY_APPROVED,MOVEMENT_PATTERN:ISOLATION,DOMAIN_REVIEW_REQUIRED
REX-000007,루마니안 데드리프트,허리·엉덩이·뒤쪽 다리,등과 목을 편안히 두고 엉덩이를 뒤로 보내며 조절 가능한 범위에서 수행한다.,허리나 뒤쪽 다리의 불편이 커지거나 등을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0116|gymvisual:0432|gymvisual:0434|gymvisual:1009|gymvisual:1023|wger:1652|wger:507,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HIP_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000008,백 익스텐션,허리·엉덩이·뒤쪽 다리,등과 목을 편안히 두고 엉덩이를 뒤로 보내며 조절 가능한 범위에서 수행한다.,허리나 뒤쪽 다리의 불편이 커지거나 등을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0489,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HIP_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000009,크런치,허리·목,호흡을 멈추지 않고 몸통이 흔들리지 않는 범위에서 천천히 수행한다.,허리나 목의 불편이 커지거나 호흡을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0274|gymvisual:0277,TAXONOMY_APPROVED,MOVEMENT_PATTERN:CORE_BRACE,DOMAIN_REVIEW_REQUIRED
REX-000010,포워드 런지,무릎·발목,발바닥을 안정적으로 두고 조절할 수 있는 깊이와 속도로 수행한다.,무릎이나 발목의 불편이 커지거나 발을 안정적으로 딛기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0336|gymvisual:0381|gymvisual:0536|gymvisual:1460|gymvisual:3470|gymvisual:3635,TAXONOMY_APPROVED,MOVEMENT_PATTERN:KNEE_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000011,글루트 브리지,허리·엉덩이·뒤쪽 다리,등과 목을 편안히 두고 엉덩이를 뒤로 보내며 조절 가능한 범위에서 수행한다.,허리나 뒤쪽 다리의 불편이 커지거나 등을 유지하기 어려우면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:3013,TAXONOMY_APPROVED,MOVEMENT_PATTERN:HIP_DOMINANT,DOMAIN_REVIEW_REQUIRED
REX-000012,풀업,어깨·팔꿈치·손목,몸을 흔들지 않고 어깨를 내린 상태에서 조절 가능한 범위로 당긴다.,어깨·팔꿈치·손목의 불편이 커지거나 기구가 튕기면 멈춘다.,부담을 낮춘 동작으로 같은 움직임 목표를 이어가기 위해.,gymvisual:0140,TAXONOMY_APPROVED,MOVEMENT_PATTERN:VERTICAL_PULL,DOMAIN_REVIEW_REQUIRED
