exercise_id,stable_code,name_ko,record_type,variant_type_code,difficulty_code,safety_current_state,fitt_current_state,goal_current_state,media_current_state,rights_current_state,safety_review_decision,fitt_review_decision,goal_review_decision,media_rights_review_decision,reviewer,reviewed_at,review_note_ko
DVAR-010E538801DE3645,one_arm_wall_lats_isolation_bodyweight__knee_no_load_safe_v1,한 팔 광배근 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-015C32CEB067E809,peroneal_stretch_mobility_stretch_stretch_strap__upper_back_no_load_safe_v1,종아리 바깥쪽 스트레칭,SEPARATE_EXERCISE,,INTERMEDIATE,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-03A7A7C6A78247A9,dumbbell_standing_curl_isolation_dumbbell__knee_no_load_safe_v1,덤벨 바이셉스 컬,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-0423655BB84F05ED,dynamic_chest_stretch_mobility_stretch_bodyweight__lower_back_no_load_safe_v1,다이내믹 가슴 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-06892D3AE613BF99,hip_flexion_isolation_bodyweight__upper_back_no_load_safe_v1,무릎 들기,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-0FA62ADA4EEA3182,rear_deltoid_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,후면 어깨 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-1760C8AA64CEB384,runners_stretch_mobility_stretch_bodyweight__abdomen_no_load_safe_v1,러너스 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-18D8381ECAA601CC,dynamic_chest_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1,다이내믹 가슴 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-1A1F63F097657004,hamstring_stretch_mobility_stretch_bodyweight__wrist_hand_no_load_safe_v1,햄스트링 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
DVAR-22F9847D7E796DD5,chest_front_shoulder_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,가슴·어깨 앞면 스트레칭,SEPARATE_EXERCISE,,BEGINNER,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,APPROVED,APPROVED,APPROVED,APPROVED,USER_DIRECT_REVIEW_2026_08_29,2026-08-29T00:00:00+09:00,주인님 일괄 승인: 외부 전문가 원천 승인 및 최종 육안 검수 완료
