exercise_id,exercise_stable_code,source_system,source_id,fitt_template_id,review_status_code,review_method_code,approval_record_code,reviewed_at
NEX-000116,ankle_circles_mobility_stretch_bodyweight,gymvisual,1368,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000117,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,gymvisual,1369,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000001,barbell_deadlift_hip_dominant_barbell,gymvisual,0032,FITT-COMPOUND-HINGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000002,barbell_decline_bent_arm_pullover,gymvisual,0034,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000004,barbell_front_raise_isolation_barbell,gymvisual,0041,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000009,barbell_straight_leg_deadlift_hip_dominant_barbell,gymvisual,0116,FITT-COMPOUND-HINGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000064,bodyweight_back_extension_hip_dominant_bodyweight,gymvisual,0489,FITT-COMPOUND-HINGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000029,bodyweight_crunch_core_brace_bodyweight,gymvisual,0274,FITT-CORE-STABILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000165,bodyweight_forward_lunge_knee_dominant_bodyweight,gymvisual,3470,FITT-COMPOUND-LUNGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000162,bodyweight_glute_bridge_hip_dominant_bodyweight,gymvisual,3013,FITT-BODYWEIGHT-BEGINNER-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000011,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,gymvisual,0140,FITT-COMPOUND-PULL-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000094,bodyweight_reverse_crunch_core_brace_bodyweight,gymvisual,0872,FITT-CORE-STABILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000154,bodyweight_split_squat_knee_dominant_bodyweight,gymvisual,2368,FITT-COMPOUND-LUNGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000118,bodyweight_standing_calf_raise_isolation_bodyweight,gymvisual,1373,FITT-BODYWEIGHT-BEGINNER-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000129,butterfly_adductor_stretch_mobility_stretch_bodyweight,gymvisual,1494,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000012,cable_decline_fly,gymvisual,0158,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000013,cable_decline_seated_wide_grip_row,gymvisual,0159,FITT-COMPOUND-PULL-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000024,cable_seated_wide_grip_row,gymvisual,0218,FITT-COMPOUND-PULL-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000021,cable_triceps_pushdown_isolation_cable_machine,gymvisual,0201,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000171,cardio_gait_bodyweight,gymvisual,3672,FITT-CARDIO-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000168,cardio_gait_bodyweight_rex_000058,gymvisual,3636,FITT-CARDIO-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000170,cardio_gait_machine,gymvisual,3666,FITT-CARDIO-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000151,cardio_gait_machine_rex_000071,gymvisual,2311,FITT-CARDIO-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000132,chair_leg_extended_stretch_mobility_stretch_bodyweight,gymvisual,1548,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000110,chest_front_shoulder_stretch_mobility_stretch_bodyweight,gymvisual,1271,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000028,close_grip_push_up_horizontal_push_bodyweight,gymvisual,0259,FITT-COMPOUND-PUSH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000030,dead_bug,gymvisual,0276,FITT-CORE-STABILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000032,dumbbell_deadlift,gymvisual,0300,FITT-COMPOUND-HINGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000142,dumbbell_goblet_squat_knee_dominant_dumbbell,gymvisual,1760,FITT-COMPOUND-SQUAT-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000037,dumbbell_incline_rear_lateral_raise,gymvisual,0326,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000039,dumbbell_lateral_raise_isolation_dumbbell,gymvisual,0334,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000040,dumbbell_lateral_to_front_raise_isolation_dumbbell,gymvisual,0335,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000047,dumbbell_preacher_curl_isolation_dumbbell,gymvisual,0372,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000048,dumbbell_rear_fly_isolation_dumbbell,gymvisual,0378,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000049,dumbbell_rear_lateral_raise_support_head,gymvisual,0379,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000057,dumbbell_shrug_isolation_dumbbell,gymvisual,0406,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000059,dumbbell_standing_curl_isolation_dumbbell,gymvisual,0416,FITT-ISOLATION-STRENGTH-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000159,dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,gymvisual,2796,FITT-COMPOUND-LUNGE-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000108,dynamic_chest_stretch_mobility_stretch_bodyweight,gymvisual,1167,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000133,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,gymvisual,1559,FITT-MOBILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
NEX-000146,foam_roller_calf_stretch_2206,gymvisual,2206,FITT-CORE-STABILITY-V1,DOMAIN_APPROVED,IDENTITY_REGISTRY_EXACT_JOIN,V2-0-7-FITT-IDENTITY-MAPPING-APPROVAL-2026-09-08-R01,2026-09-08T00:00:00+09:00
