representative_exercise_id,stable_code,name_ko,name_en,source_name,source_name_en,exercise_family_code,primary_movement_pattern_code,training_type_code,body_focus_code,target_muscle_status,primary_body_area_codes,secondary_body_area_codes,body_area_status,equipment_codes,location_codes,setup_condition_ko,difficulty_code,beginner_suitable,recovery_eligible,difficulty_status,fitt_template_id,timing_mode_code,fitt_default_sets,fitt_default_reps,fitt_default_work_seconds,fitt_default_rest_seconds,fitt_default_transition_seconds,default_seconds_per_rep,default_work_seconds,default_rest_seconds,default_transition_seconds,instruction_summary_ko,form_cues_ko,instruction_content_version,review_status_code,source_track,source_identity,fitt_intensity_level,fitt_status,met_value,met_intensity_level,met_source,met_status,nex_exercise_ids,nex_exercise_count,taxonomy_review_status,taxonomy_reviewer,taxonomy_reviewed_at,catalog_status
REX-000001,abs_core_brace_core_brace_mat,누워서 복부 수축하기,누워서 배가로근 수축1,누워서 배가로근 수축1,누워서 배가로근 수축1,ABS_CORE_BRACE,CORE_BRACE,STRENGTH,CORE,APPROVED,"[""ABDOMEN""]","[""LOWER_BACK""]",APPROVED,MAT,HOME,,BEGINNER,false,false,APPROVED,FITT-CORE-STABILITY-V1,DURATION,2-3,,30-45,45-60,,,30,90,15,복부 브레이싱 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."", ""배 주변에 가볍게 힘을 주고 숨을 쉰다."", ""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."", ""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,kspo,9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,LIGHT_MODERATE,APPROVED,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000177""]",1,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,쿼드러펫 락백,all fours squad stretch,all fours squad stretch,all fours squad stretch,ALL_FOURS_SQUAT_STRETCH,MOBILITY_STRETCH,MOBILITY,MOBILITY,APPROVED,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]",APPROVED,BODYWEIGHT,HOME|GYM,,INTERMEDIATE,false,true,APPROVED,FITT-MOBILITY-V1,DURATION,,,30-60,,15-30,,30,30,15,네발기기 스쿼트 스트레칭 운동은 무릎·고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."", ""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."", ""당김이 느껴지는 범위에서 잠시 멈춘다."", ""반동 없이 시작 자세로 천천히 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,1512,LIGHT,APPROVED,2.3,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02101;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000131""]",1,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000003,ankle_circles_mobility_stretch_bodyweight,발목 돌리기,ankle circles,ankle circles,ankle circles,ANKLE_CIRCLES,MOBILITY_STRETCH,MOBILITY,MOBILITY,APPROVED,"[""ANKLE_FOOT""]","[""KNEE""]",APPROVED,BODYWEIGHT,HOME|GYM,,BEGINNER,false,true,APPROVED,FITT-MOBILITY-V1,DURATION,,,30-60,,15-30,,30,30,15,발목 돌리기 운동은 발목과 발 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."", ""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."", ""당김이 느껴지는 범위에서 잠시 멈춘다."", ""반동 없이 시작 자세로 천천히 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,1368,LIGHT,APPROVED,2.3,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02101;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000116""]",1,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000004,barbell_deadlift_hip_dominant_barbell,데드리프트,barbell deadlift,barbell deadlift,barbell deadlift,BARBELL_DEADLIFT,HIP_DOMINANT,STRENGTH,GLUTES,APPROVED,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",APPROVED,BARBELL,GYM,,INTERMEDIATE,false,false,APPROVED,FITT-COMPOUND-HINGE-V1,REPS,3,8-12,,90,,4,,90,15,데드리프트 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."", ""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."", ""등과 목을 편안히 두고 엉덩이로 힘을 낸다."", ""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0032,MODERATE,APPROVED,6,VIGOROUS,ADULT_COMPENDIUM_2024;activity_code=02050;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000001"", ""NEX-000032"", ""NEX-000186"", ""NEX-000192""]",4,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000005,barbell_front_raise_isolation_barbell,프론트 레이즈,barbell front raise,barbell front raise,barbell front raise,BARBELL_FRONT_RAISE,ISOLATION,STRENGTH,SHOULDERS,APPROVED,"[""SHOULDER""]","[""ELBOW""]",APPROVED,BARBELL,GYM,,BEGINNER,false,false,APPROVED,FITT-ISOLATION-STRENGTH-V1,REPS,3,10-15,,60-90,,4,,90,15,프론트 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."", ""안내된 부위를 중심으로 천천히 움직인다."", ""끝 범위에서 힘을 잠시 유지한다."", ""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0041,MODERATE,APPROVED,3.5,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000004"", ""NEX-000035"", ""NEX-000036"", ""NEX-000040"", ""NEX-000053"", ""NEX-000098""]",6,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000006,barbell_pullover_isolation_barbell,풀오버,barbell pullover,barbell pullover,barbell pullover,BARBELL_PULLOVER,ISOLATION,STRENGTH,BACK,APPROVED,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",APPROVED,BARBELL,GYM,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,INTERMEDIATE,false,false,APPROVED,FITT-ISOLATION-STRENGTH-V1,REPS,3,10-15,,60-90,,4,,90,15,풀오버 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."", ""안내된 부위를 중심으로 천천히 움직인다."", ""끝 범위에서 힘을 잠시 유지한다."", ""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0073,MODERATE,APPROVED,3.5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02054;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000002"", ""NEX-000003"", ""NEX-000005"", ""NEX-000018"", ""NEX-000148"", ""NEX-000161""]",6,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000007,barbell_straight_leg_deadlift_hip_dominant_barbell,루마니안 데드리프트,barbell straight leg deadlift,barbell straight leg deadlift,barbell straight leg deadlift,BARBELL_STRAIGHT_LEG_DEADLIFT,HIP_DOMINANT,STRENGTH,HAMSTRINGS,APPROVED,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",APPROVED,BARBELL,GYM,,INTERMEDIATE,false,false,APPROVED,FITT-COMPOUND-HINGE-V1,REPS,3,8-12,,90,,4,,90,15,루마니안 데드리프트 운동은 엉덩이를 뒤로 보내며 허벅지 뒤쪽을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."", ""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."", ""등과 목을 편안히 두고 엉덩이로 힘을 낸다."", ""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0116,MODERATE,APPROVED,6,VIGOROUS,ADULT_COMPENDIUM_2024;activity_code=02050;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000009"", ""NEX-000061"", ""NEX-000062"", ""NEX-000104"", ""NEX-000107"", ""NEX-000193"", ""NEX-000205""]",7,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000008,bodyweight_back_extension_hip_dominant_bodyweight,백 익스텐션,hyperextension,hyperextension,hyperextension,BODYWEIGHT_BACK_EXTENSION,HIP_DOMINANT,STRENGTH,BACK,APPROVED,"[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]",APPROVED,BODYWEIGHT,HOME|GYM,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,INTERMEDIATE,false,false,APPROVED,FITT-COMPOUND-HINGE-V1,REPS,3,8-12,,90,,4,,90,15,백 익스텐션 운동은 엉덩이를 뒤로 보내며 등을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."", ""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."", ""등과 목을 편안히 두고 엉덩이로 힘을 낸다."", ""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0489,MODERATE,APPROVED,5,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02052;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000064""]",1,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000009,bodyweight_crunch_core_brace_bodyweight,크런치,crunch floor,crunch floor,crunch floor,BODYWEIGHT_CRUNCH,CORE_BRACE,STRENGTH,CORE,APPROVED,"[""ABDOMEN""]","[""LOWER_BACK""]",APPROVED,BODYWEIGHT,HOME|GYM,,BEGINNER,true,false,APPROVED,FITT-CORE-STABILITY-V1,DURATION,2-3,,30-45,45-60,,,30,90,15,크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."", ""배 주변에 가볍게 힘을 주고 숨을 쉰다."", ""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."", ""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0274,LIGHT_MODERATE,APPROVED,3,LIGHT,ADULT_COMPENDIUM_2024;activity_code=02056;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000029"", ""NEX-000031""]",2,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
REX-000010,bodyweight_forward_lunge_knee_dominant_bodyweight,포워드 런지,forward lunge (male),forward lunge (male),forward lunge (male),BODYWEIGHT_FORWARD_LUNGE,KNEE_DOMINANT,STRENGTH,GLUTES,APPROVED,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]",APPROVED,BODYWEIGHT,HOME|GYM,,INTERMEDIATE,false,false,APPROVED,FITT-COMPOUND-LUNGE-V1,REPS,3,8-12,,90,,4,,90,15,포워드 런지 운동은 다리를 굽혔다 펴며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 벌리고 양발에 무게를 나눈다."", ""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."", ""발바닥을 바닥에 두고 편한 범위까지만 내려간다."", ""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,3470,MODERATE,APPROVED,3.8,MODERATE,ADULT_COMPENDIUM_2024;activity_code=02022;url=https://pacompendium.com/;domain_approval=DATA_OWNER_APPROVAL;reviewed_at=2026-08-24T00:00:00+09:00;approval_scope=ALL_MET_MAPPINGS,DOMAIN_APPROVED,"[""NEX-000041"", ""NEX-000051"", ""NEX-000068"", ""NEX-000128"", ""NEX-000165"", ""NEX-000167""]",6,TAXONOMY_APPROVED,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,FINAL_CATALOG_PENDING_MEDIA_RIGHTS
