exercise_id,old_rule_match,new_rule_id,missing_rule,new_rule_created,review_required,comment
NEX-000001,LEGACY-RULE-0004|LEGACY-RULE-0006|LEGACY-RULE-0029|LEGACY-RULE-0037|LEGACY-RULE-0038|LEGACY-RULE-0044|LEGACY-RULE-0045|LEGACY-RULE-0066|LEGACY-RULE-0067|LEGACY-RULE-0069|LEGACY-RULE-0070|LEGACY-RULE-0075|LEGACY-RULE-0076|LEGACY-RULE-0077|LEGACY-RULE-0091|LEGACY-RULE-0092|LEGACY-RULE-0094|LEGACY-RULE-0095|LEGACY-RULE-0108|LEGACY-RULE-0111|LEGACY-RULE-0112|LEGACY-RULE-0116|LEGACY-RULE-0117|LEGACY-RULE-0134|LEGACY-RULE-0135|LEGACY-RULE-0142|LEGACY-RULE-0143|LEGACY-RULE-0144|LEGACY-RULE-0145|LEGACY-RULE-0146|LEGACY-RULE-0150|LEGACY-RULE-0151|LEGACY-RULE-0155|LEGACY-RULE-0156|LEGACY-RULE-0157|LEGACY-RULE-0158|LEGACY-RULE-0160|LEGACY-RULE-0161|LEGACY-RULE-0164|LEGACY-RULE-0165|LEGACY-RULE-0170|LEGACY-RULE-0171|LEGACY-RULE-0177|LEGACY-RULE-0178|LEGACY-RULE-0185|LEGACY-RULE-0186|LEGACY-RULE-0198|LEGACY-RULE-0199|LEGACY-RULE-0216|LEGACY-RULE-0217|LEGACY-RULE-0230|LEGACY-RULE-0231|LEGACY-RULE-0250|LEGACY-RULE-0251|LEGACY-RULE-0252|LEGACY-RULE-0253|LEGACY-RULE-0261|LEGACY-RULE-0264|LEGACY-RULE-0265|LEGACY-RULE-0266|LEGACY-RULE-0267|LEGACY-RULE-0270|LEGACY-RULE-0271|LEGACY-RULE-0272|LEGACY-RULE-0273|LEGACY-RULE-0275|LEGACY-RULE-0276,SRV2-NEW-0023|SRV2-NEW-0025|SRV2-NEW-0027|SRV2-NEW-0028|SRV2-NEW-0030,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000002,LEGACY-RULE-0008|LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0115|LEGACY-RULE-0125|LEGACY-RULE-0126|LEGACY-RULE-0154|LEGACY-RULE-0191|LEGACY-RULE-0208,SRV2-NEW-0069|SRV2-NEW-0070|SRV2-NEW-0071|SRV2-NEW-0073|SRV2-NEW-0078,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000003,LEGACY-RULE-0008|LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0115|LEGACY-RULE-0125|LEGACY-RULE-0126|LEGACY-RULE-0154|LEGACY-RULE-0191|LEGACY-RULE-0208,SRV2-NEW-0069|SRV2-NEW-0070|SRV2-NEW-0071|SRV2-NEW-0073|SRV2-NEW-0078,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000004,LEGACY-RULE-0007|LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0012|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0017|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0020|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0057|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0218|LEGACY-RULE-0245,SRV2-NEW-0086|SRV2-NEW-0088|SRV2-NEW-0090,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000005,LEGACY-RULE-0008|LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0115|LEGACY-RULE-0125|LEGACY-RULE-0126|LEGACY-RULE-0154|LEGACY-RULE-0191|LEGACY-RULE-0208,SRV2-NEW-0069|SRV2-NEW-0070|SRV2-NEW-0071|SRV2-NEW-0073|SRV2-NEW-0078,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000006,LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0159,SRV2-NEW-0071|SRV2-NEW-0073|SRV2-NEW-0081,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000007,LEGACY-RULE-0003|LEGACY-RULE-0069|LEGACY-RULE-0070|LEGACY-RULE-0094|LEGACY-RULE-0095|LEGACY-RULE-0116|LEGACY-RULE-0117|LEGACY-RULE-0134|LEGACY-RULE-0135|LEGACY-RULE-0149|LEGACY-RULE-0150|LEGACY-RULE-0151|LEGACY-RULE-0170|LEGACY-RULE-0171|LEGACY-RULE-0177|LEGACY-RULE-0178|LEGACY-RULE-0198|LEGACY-RULE-0199|LEGACY-RULE-0215|LEGACY-RULE-0216|LEGACY-RULE-0217|LEGACY-RULE-0230|LEGACY-RULE-0231|LEGACY-RULE-0252|LEGACY-RULE-0253|LEGACY-RULE-0266|LEGACY-RULE-0267|LEGACY-RULE-0275|LEGACY-RULE-0276,SRV2-NEW-0093|SRV2-NEW-0098|SRV2-NEW-0100,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000008,LEGACY-RULE-0039|LEGACY-RULE-0040|LEGACY-RULE-0041|LEGACY-RULE-0046|LEGACY-RULE-0049|LEGACY-RULE-0050|LEGACY-RULE-0051|LEGACY-RULE-0052|LEGACY-RULE-0082|LEGACY-RULE-0083|LEGACY-RULE-0084|LEGACY-RULE-0120|LEGACY-RULE-0123|LEGACY-RULE-0124|LEGACY-RULE-0166|LEGACY-RULE-0167|LEGACY-RULE-0206|LEGACY-RULE-0207|LEGACY-RULE-0225|LEGACY-RULE-0226|LEGACY-RULE-0238|LEGACY-RULE-0239|LEGACY-RULE-0256|LEGACY-RULE-0259|LEGACY-RULE-0260|LEGACY-RULE-0277|LEGACY-RULE-0278,SRV2-NEW-0087|SRV2-NEW-0089|SRV2-NEW-0091,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000009,LEGACY-RULE-0004|LEGACY-RULE-0006|LEGACY-RULE-0029|LEGACY-RULE-0037|LEGACY-RULE-0038|LEGACY-RULE-0044|LEGACY-RULE-0045|LEGACY-RULE-0066|LEGACY-RULE-0067|LEGACY-RULE-0069|LEGACY-RULE-0070|LEGACY-RULE-0075|LEGACY-RULE-0076|LEGACY-RULE-0077|LEGACY-RULE-0091|LEGACY-RULE-0092|LEGACY-RULE-0094|LEGACY-RULE-0095|LEGACY-RULE-0108|LEGACY-RULE-0111|LEGACY-RULE-0112|LEGACY-RULE-0116|LEGACY-RULE-0117|LEGACY-RULE-0134|LEGACY-RULE-0135|LEGACY-RULE-0142|LEGACY-RULE-0143|LEGACY-RULE-0144|LEGACY-RULE-0145|LEGACY-RULE-0146|LEGACY-RULE-0150|LEGACY-RULE-0151|LEGACY-RULE-0155|LEGACY-RULE-0156|LEGACY-RULE-0157|LEGACY-RULE-0158|LEGACY-RULE-0160|LEGACY-RULE-0161|LEGACY-RULE-0164|LEGACY-RULE-0165|LEGACY-RULE-0170|LEGACY-RULE-0171|LEGACY-RULE-0177|LEGACY-RULE-0178|LEGACY-RULE-0185|LEGACY-RULE-0186|LEGACY-RULE-0198|LEGACY-RULE-0199|LEGACY-RULE-0216|LEGACY-RULE-0217|LEGACY-RULE-0230|LEGACY-RULE-0231|LEGACY-RULE-0250|LEGACY-RULE-0251|LEGACY-RULE-0252|LEGACY-RULE-0253|LEGACY-RULE-0261|LEGACY-RULE-0264|LEGACY-RULE-0265|LEGACY-RULE-0266|LEGACY-RULE-0267|LEGACY-RULE-0270|LEGACY-RULE-0271|LEGACY-RULE-0272|LEGACY-RULE-0273|LEGACY-RULE-0275|LEGACY-RULE-0276,SRV2-NEW-0023|SRV2-NEW-0025|SRV2-NEW-0027|SRV2-NEW-0028|SRV2-NEW-0030,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
NEX-000010,LEGACY-RULE-0009|LEGACY-RULE-0010|LEGACY-RULE-0013|LEGACY-RULE-0014|LEGACY-RULE-0018|LEGACY-RULE-0019|LEGACY-RULE-0021|LEGACY-RULE-0022|LEGACY-RULE-0053|LEGACY-RULE-0054|LEGACY-RULE-0058|LEGACY-RULE-0059|LEGACY-RULE-0159,SRV2-NEW-0071|SRV2-NEW-0073|SRV2-NEW-0081,NO,YES,YES,movement_pattern 사람 검수 완료값과 body-area 기반 bridge rule입니다. 외부 도메인 검수 전에는 운영 활성화하지 않습니다.
