script,case_id,category,status_code,has_plan,used_fallback,repair_attempts,llm_call_count,passed,failure_check_codes,observation_check_codes
compliant,SQ-SIMPLE-001,simple,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-SIMPLE-002,simple,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-MODERATE-001,moderate,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-MODERATE-002,moderate,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-COMPLEX-001,complex,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-COMPLEX-002,complex,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-CONFLICT-001,conflict,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-CONFLICT-002,conflict,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-CONFLICT-003,conflict,SUCCEEDED,1,0,0,4,1,,EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE
compliant,SQ-SAFETY-001,safety_critical,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-SAFETY-002,safety_critical,REST,0,0,0,0,1,,
compliant,SQ-SAFETY-003,safety_critical,STOP_AND_SEEK_HELP,0,0,0,0,1,,
compliant,SQ-RAG-001,rag_retrieval,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-RAG-002,rag_retrieval,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-INVALID-002,invalid_input,FAILED,0,1,0,3,1,,DETERMINISTIC_FALLBACK_USED
compliant,SQ-FAILURE-001,failure_case,SUCCEEDED,1,0,0,4,1,,
compliant,SQ-FAILURE-002,failure_case,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-SIMPLE-001,simple,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-SIMPLE-002,simple,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-MODERATE-001,moderate,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-MODERATE-002,moderate,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-COMPLEX-001,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_safety_violating,SQ-COMPLEX-002,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_safety_violating,SQ-CONFLICT-001,conflict,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-CONFLICT-002,conflict,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_safety_violating,SQ-CONFLICT-003,conflict,SUCCEEDED,1,0,0,4,1,,EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE
training_safety_violating,SQ-SAFETY-001,safety_critical,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_safety_violating,SQ-SAFETY-002,safety_critical,REST,0,0,0,0,1,,
training_safety_violating,SQ-SAFETY-003,safety_critical,STOP_AND_SEEK_HELP,0,0,0,0,1,,
training_safety_violating,SQ-RAG-001,rag_retrieval,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-RAG-002,rag_retrieval,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-INVALID-002,invalid_input,FAILED,0,1,0,3,1,,DETERMINISTIC_FALLBACK_USED
training_safety_violating,SQ-FAILURE-001,failure_case,SUCCEEDED,1,0,0,4,1,,
training_safety_violating,SQ-FAILURE-002,failure_case,FAILED,0,1,0,3,1,,DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-SIMPLE-001,simple,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-SIMPLE-002,simple,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-MODERATE-001,moderate,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-MODERATE-002,moderate,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-COMPLEX-001,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-COMPLEX-002,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-CONFLICT-001,conflict,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-CONFLICT-002,conflict,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-CONFLICT-003,conflict,SUCCEEDED,1,1,0,3,1,,EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|EQUIPMENT_UNCONSTRAINED_BY_ENVELOPE|SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-SAFETY-001,safety_critical,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-SAFETY-002,safety_critical,REST,0,0,0,0,1,,
training_pool_escape,SQ-SAFETY-003,safety_critical,STOP_AND_SEEK_HELP,0,0,0,0,1,,
training_pool_escape,SQ-RAG-001,rag_retrieval,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-RAG-002,rag_retrieval,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-INVALID-002,invalid_input,FAILED,0,1,0,3,1,,DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-FAILURE-001,failure_case,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_pool_escape,SQ-FAILURE-002,failure_case,FAILED,0,1,0,3,1,,DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-SIMPLE-001,simple,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-SIMPLE-002,simple,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-MODERATE-001,moderate,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-MODERATE-002,moderate,SUCCEEDED,1,1,0,3,1,,SUCCESS_CARRIES_FAILURE_CODES|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-COMPLEX-001,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-COMPLEX-002,complex,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-CONFLICT-001,conflict,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
training_duration_violating,SQ-CONFLICT-002,conflict,FAILED,0,1,0,3,1,,PLAN_WITHHELD_UNDER_PROVIDER_FAULT|DETERMINISTIC_FALLBACK_USED
