record_type,catalog_version_code,stable_code,representative_exercise_id,name_ko,name_en,training_type_code,body_focus_code,primary_movement_pattern_code,difficulty_code,difficulty_status,timing_mode_code,default_seconds_per_rep,default_work_seconds,default_rest_seconds,default_transition_seconds,equipment_codes,location_codes,primary_body_area_codes,secondary_body_area_codes,recovery_eligible,instruction_summary_ko,form_cues_ko,instruction_content_version,review_status_code,source_track,source_identity,production_eligible,allowed_experience_level_codes,fitt_template_ids_by_experience,fitt_mapping_exception_code,fitt_mapping_note,mapping_source_exercise_id,v1_exercise_ids,artifact_review_status_code,review_required,source_catalog_version_code,v1_exercise_id,v1_exercise_name_ko,v1_name_en,v1_source_name_en,v1_training_type_code,v1_body_focus_code,v1_primary_body_area_codes,v1_secondary_body_area_codes,v1_target_body_area_codes,v1_timing_mode_code,v1_default_sets,v1_default_reps,v1_default_work_seconds,v1_default_rest_seconds,v1_default_transition_seconds,v1_intensity_level,exercise_stable_code,source_review_status_code,alias_only
EXERCISE,exercise-catalog-v2.0.2-draft,abs_core_brace_core_brace_mat,REX-000001,누워서 복부 수축하기,누워서 배가로근 수축1,STRENGTH,CORE,CORE_BRACE,BEGINNER,APPROVED,DURATION,,30,90,15,"[""MAT""]","[""HOME""]","[""ABDOMEN""]","[""LOWER_BACK""]",false,복부 브레이싱 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,kspo,9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,false,"[""BEGINNER"",""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-CORE-DYNAMIC-INTERMEDIATE-V1"",""BEGINNER"":""FITT-CORE-DYNAMIC-V1""}",NONE,동적 코어 운동에 REPS 단위 템플릿 적용.,NEX-000177,"[""NEX-000177""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,all_fours_squat_stretch_mobility_stretch_bodyweight,REX-000002,쿼드러펫 락백,all fours squad stretch,MOBILITY,MOBILITY,MOBILITY_STRETCH,BEGINNER,APPROVED,DURATION,,30,30,15,"[""BODYWEIGHT""]","[""HOME"",""GYM""]","[""KNEE"",""HIP""]","[""ANKLE_FOOT""]",true,네발기기 스쿼트 스트레칭 운동은 무릎·고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,1512,false,"[""BEGINNER"",""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-MOBILITY-INTERMEDIATE-V1"",""BEGINNER"":""FITT-MOBILITY-V1""}",NONE,패턴 전용 FITT 템플릿 적용.,NEX-000131,"[""NEX-000131""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,ankle_circles_mobility_stretch_bodyweight,REX-000003,발목 돌리기,ankle circles,MOBILITY,MOBILITY,MOBILITY_STRETCH,BEGINNER,APPROVED,DURATION,,30,30,15,"[""BODYWEIGHT""]","[""HOME"",""GYM""]","[""ANKLE_FOOT""]","[""KNEE""]",true,발목 돌리기 운동은 발목과 발 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,1368,false,"[""BEGINNER"",""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-MOBILITY-INTERMEDIATE-V1"",""BEGINNER"":""FITT-MOBILITY-V1""}",NONE,패턴 전용 FITT 템플릿 적용.,NEX-000116,"[""NEX-000116""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,barbell_deadlift_hip_dominant_barbell,REX-000004,데드리프트,barbell deadlift,STRENGTH,GLUTES,HIP_DOMINANT,INTERMEDIATE,APPROVED,REPS,4,,90,15,"[""BARBELL""]","[""GYM""]","[""HIP""]","[""KNEE"",""LOWER_BACK""]",false,데드리프트 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0032,false,"[""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-COMPOUND-HINGE-INTERMEDIATE-V1""}",NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,NEX-000001,"[""NEX-000001"",""NEX-000032"",""NEX-000186"",""NEX-000192""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,barbell_front_raise_isolation_barbell,REX-000005,프론트 레이즈,barbell front raise,STRENGTH,SHOULDERS,ISOLATION,BEGINNER,APPROVED,REPS,4,,90,15,"[""BARBELL""]","[""GYM""]","[""SHOULDER""]","[""ELBOW""]",false,프론트 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0041,false,"[""BEGINNER"",""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-ISOLATION-STRENGTH-INTERMEDIATE-V1"",""BEGINNER"":""FITT-ISOLATION-STRENGTH-V1""}",NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,NEX-000004,"[""NEX-000004"",""NEX-000035"",""NEX-000036"",""NEX-000040"",""NEX-000053"",""NEX-000098""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,barbell_pullover_isolation_barbell,REX-000006,풀오버,barbell pullover,STRENGTH,BACK,ISOLATION,INTERMEDIATE,APPROVED,REPS,4,,90,15,"[""BARBELL""]","[""GYM""]","[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",false,풀오버 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0073,false,"[""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-ISOLATION-STRENGTH-INTERMEDIATE-V1""}",NONE,단일관절 또는 고립 저항운동 특성으로 ISOLATION_STRENGTH 템플릿 적용.,NEX-000002,"[""NEX-000002"",""NEX-000003"",""NEX-000005"",""NEX-000018"",""NEX-000148"",""NEX-000161""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,barbell_straight_leg_deadlift_hip_dominant_barbell,REX-000007,루마니안 데드리프트,barbell straight leg deadlift,STRENGTH,HAMSTRINGS,HIP_DOMINANT,INTERMEDIATE,APPROVED,REPS,4,,90,15,"[""BARBELL""]","[""GYM""]","[""HIP""]","[""KNEE"",""LOWER_BACK""]",false,루마니안 데드리프트 운동은 엉덩이를 뒤로 보내며 허벅지 뒤쪽을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0116,false,"[""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-COMPOUND-HINGE-INTERMEDIATE-V1""}",NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,NEX-000009,"[""NEX-000009"",""NEX-000061"",""NEX-000062"",""NEX-000104"",""NEX-000107"",""NEX-000193"",""NEX-000205""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,bodyweight_back_extension_hip_dominant_bodyweight,REX-000008,백 익스텐션,hyperextension,STRENGTH,BACK,HIP_DOMINANT,INTERMEDIATE,APPROVED,REPS,4,,90,15,"[""BODYWEIGHT""]","[""HOME"",""GYM""]","[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]",false,백 익스텐션 운동은 엉덩이를 뒤로 보내며 등을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0489,false,"[""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-COMPOUND-HINGE-INTERMEDIATE-V1""}",NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,NEX-000064,"[""NEX-000064""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,bodyweight_crunch_core_brace_bodyweight,REX-000009,크런치,crunch floor,STRENGTH,CORE,CORE_BRACE,BEGINNER,APPROVED,DURATION,,30,90,15,"[""BODYWEIGHT""]","[""HOME"",""GYM""]","[""ABDOMEN""]","[""LOWER_BACK""]",false,크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,0274,false,"[""BEGINNER"",""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-CORE-DYNAMIC-INTERMEDIATE-V1"",""BEGINNER"":""FITT-CORE-DYNAMIC-V1""}",NONE,동적 코어 운동에 REPS 단위 템플릿 적용.,NEX-000029,"[""NEX-000029"",""NEX-000031""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
EXERCISE,exercise-catalog-v2.0.2-draft,bodyweight_forward_lunge_knee_dominant_bodyweight,REX-000010,포워드 런지,forward lunge (male),STRENGTH,GLUTES,KNEE_DOMINANT,INTERMEDIATE,APPROVED,REPS,4,,90,15,"[""BODYWEIGHT""]","[""HOME"",""GYM""]","[""HIP"",""KNEE""]","[""ANKLE_FOOT""]",false,포워드 런지 운동은 다리를 굽혔다 펴며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,DOMAIN_APPROVED,gymvisual,3470,false,"[""INTERMEDIATE""]","{""INTERMEDIATE"":""FITT-COMPOUND-LUNGE-INTERMEDIATE-V1""}",NONE,다관절 저항운동 패턴 전용 복합 템플릿 적용.,NEX-000041,"[""NEX-000041"",""NEX-000051"",""NEX-000068"",""NEX-000128"",""NEX-000165"",""NEX-000167""]",REVIEW_REQUIRED,true,,,,,,,,,,,,,,,,,,,,
