sample_id,case_id,category,architecture_code,personalization_score,feasibility_score,consistency_score,explanation_quality_score,groundedness_score,overall_quality_score,human_score,judge_score,score_difference,absolute_difference,reviewer_confidence,reviewer_notes
HC-001,SQ-SIMPLE-001,simple,MULTI_AGENT,4.0,4.2,4.0,4.0,4.0,4.1,4.05,3.8333,0.2167,0.2167,HIGH,
HC-002,SQ-COMPLEX-001,complex,MULTI_AGENT,3.8,3.6,3.7,3.5,3.9,3.7,3.7,4.5,-0.8,0.8,HIGH,
HC-003,SQ-CONFLICT-002,conflict,SINGLE_AGENT_RAG,4.1,4.3,4.2,4.0,4.4,4.2,4.2,4.0,0.2,0.2,HIGH,
HC-004,SQ-MODERATE-002,moderate,SINGLE_LLM,4.2,4.1,4.3,4.0,4.4,4.2,4.2,3.1667,1.0333,1.0333,HIGH,
HC-005,SQ-RAG-001,rag_retrieval,MULTI_AGENT,4.1,4.3,4.2,4.0,4.4,4.2,4.2,4.1667,0.0333,0.0333,HIGH,
HC-006,SQ-CONFLICT-003,conflict,SINGLE_LLM,4.1,4.3,4.2,4.0,4.4,4.1,4.1833,3.0,1.1833,1.1833,HIGH,
HC-007,SQ-MODERATE-001,moderate,SINGLE_AGENT_RAG,3.9,3.8,3.7,3.6,3.5,3.4,3.65,4.6667,-1.0167,1.0167,HIGH,
HC-008,SQ-RAG-002,rag_retrieval,SINGLE_LLM,4.2,4.1,4.0,4.3,4.2,4.2,4.1667,3.1667,1.0,1.0,HIGH,
HC-009,SQ-SAFETY-001,safety_critical,SINGLE_LLM,3.9,3.8,3.7,3.6,3.5,3.4,3.65,4.0,-0.35,0.35,HIGH,
HC-010,SQ-CONFLICT-001,conflict,SINGLE_LLM,3.0,3.1,3.2,3.3,3.4,3.5,3.25,4.1667,-0.9167,0.9167,HIGH,
HC-011,SQ-RAG-001,rag_retrieval,SINGLE_AGENT_RAG,4.1,4.2,4.3,4.0,4.4,4.2,4.2,4.3333,-0.1333,0.1333,HIGH,
HC-012,SQ-CONFLICT-002,conflict,MULTI_AGENT,4.0,4.1,4.2,4.0,4.4,4.2,4.15,5.0,-0.85,0.85,HIGH,
HC-013,SQ-SAFETY-001,safety_critical,SINGLE_AGENT_RAG,3.9,3.8,3.7,3.6,3.5,3.4,3.65,3.5,0.15,0.15,HIGH,
HC-014,SQ-RAG-002,rag_retrieval,MULTI_AGENT,3.8,3.7,3.6,3.5,3.4,3.3,3.55,4.1667,-0.6167,0.6167,HIGH,
HC-015,SQ-SIMPLE-001,simple,SINGLE_AGENT_RAG,4.5,4.4,4.3,4.2,4.1,4.0,4.25,4.3333,-0.0833,0.0833,HIGH,
HC-016,SQ-COMPLEX-002,complex,SINGLE_LLM,4.3,4.2,4.1,4.0,4.4,4.2,4.2,3.5,0.7,0.7,HIGH,
HC-017,SQ-FAILURE-002,failure_case,SINGLE_AGENT_RAG,4.2,4.1,4.3,4.0,4.4,4.2,4.2,3.5,0.7,0.7,HIGH,
HC-018,SQ-CONFLICT-001,conflict,MULTI_AGENT,4.7,4.6,4.5,4.4,4.3,4.2,4.45,4.3333,0.1167,0.1167,HIGH,
HC-019,SQ-MODERATE-002,moderate,MULTI_AGENT,4.2,4.1,4.0,4.3,4.4,4.2,4.2,4.6667,-0.4667,0.4667,HIGH,
HC-020,SQ-FAILURE-001,failure_case,MULTI_AGENT,4.1,4.2,4.3,4.0,4.4,4.2,4.2,4.5,-0.3,0.3,HIGH,
HC-021,SQ-SIMPLE-001,simple,SINGLE_LLM,4.1,4.2,4.3,4.0,4.4,4.2,4.2,3.1667,1.0333,1.0333,HIGH,
HC-022,SQ-COMPLEX-002,complex,SINGLE_AGENT_RAG,3.6,3.7,3.8,3.9,4.0,4.1,3.85,3.8333,0.0167,0.0167,HIGH,
HC-023,SQ-FAILURE-001,failure_case,SINGLE_LLM,4.1,4.2,4.3,4.0,4.4,4.2,4.2,4.6667,-0.4667,0.4667,HIGH,
HC-024,SQ-FAILURE-001,failure_case,SINGLE_AGENT_RAG,4.0,4.1,4.2,4.0,4.4,4.2,4.15,4.5,-0.35,0.35,HIGH,
