sample_id,case_id,category,user_context,routine_plan,decision_codes,personalization_score,feasibility_score,consistency_score,explanation_quality_score,groundedness_score,overall_quality_score,human_score,reviewer_confidence,reviewer_notes
HC-001,SQ-SIMPLE-001,simple,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1172초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 2세트 x 15회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | MODERATE | 2세트 x 15회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 12회 | 휴식 60초 | HOME
7. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME
8. [COOLDOWN] COOLDOWN_CHEST_STRETCH | MODERATE | 1세트 x 12회 | 휴식 30초 | HOME","DURATION_REQUEST_20_MIN_FEASIBLE
INTENSITY_LIMIT_LOW_MODERATE
LOAD_LIMIT_BODYWEIGHT
RECOVERY_CEILING_APPLY
RECOVERY_ELIGIBLE_ONLY
REPETITIONS_PER_SET_MAX_15
REST_SECONDS_MIN_30
SETS_PER_EXERCISE_MAX_3",4,4.2,4,4,4,4.1,,HIGH,
HC-002,SQ-COMPLEX-001,complex,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1170초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 2세트 x 12회 | 휴식 30초 | HOME
2. [MAIN] GLUTE_BRIDGE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
3. [MAIN] PUSHUP_KNEE | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
4. [MAIN] DEAD_BUG | MODERATE | 3세트 x 12회 | 휴식 60초 | HOME
5. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 2세트 x 8회 | 휴식 30초 | HOME","DURATION_20_MINUTES_FEASIBLE
LOCATION_HOME_FEASIBLE
RECOVERY_EXCLUDE_ENVELOPE_EXERCISE_IDS
RECOVERY_LIMIT_SET_COUNT
RECOVERY_PRIORITIZE_BODYWEIGHT
RECOVERY_USE_MINIMUM_REST_COMPLIANT_OR_GREATER",3.8,3.6,3.7,3.5,3.9,3.7,,HIGH,
HC-003,SQ-CONFLICT-002,conflict,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 12
최소 휴식: 60초","조정: KEEP
예상 시간: 1132초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
2. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
3. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] DEAD_BUG | LOW | 2세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] PLANK_FOREARM | LOW | 2세트 x 8회 | 휴식 60초 | HOME
7. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | LOW | 2세트 x 8회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 8회 | 휴식 60초 | HOME","BODYWEIGHT
GENERAL_FITNESS
HOME
LOW_INTENSITY
RECOVERY_CEILING_COMPLIANT",4.1,4.3,4.2,4.0,4.4,4.2,,HIGH,
HC-004,SQ-MODERATE-002,moderate,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 1414초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 2세트 x 12회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 12회 | 휴식 30초 | HOME
3. [MAIN] GLUTE_BRIDGE | MODERATE | 3세트 x 12회 | 휴식 30초 | HOME
4. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 3세트 x 12회 | 휴식 30초 | HOME
5. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
6. [MAIN] LUNGE_FORWARD | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
7. [MAIN] DEAD_BUG | MODERATE | 2세트 x 10회 | 휴식 30초 | HOME
8. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 10회 | 휴식 30초 | HOME
9. [COOLDOWN] COOLDOWN_CHEST_STRETCH | LOW | 2세트 x 10회 | 휴식 30초 | HOME","BODYWEIGHT
GENERAL_FITNESS
HOME
MANDATORY_INCLUDED
RECOVERY_CEILING_MET",4.2,4.1,4.3,4.0,4.4,4.2,,HIGH,
HC-005,SQ-RAG-001,rag_retrieval,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: KEEP
예상 시간: 956초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | MODERATE | 2세트 x 8회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME
9. [COOLDOWN] COOLDOWN_CHILD_POSE | MODERATE | 1세트 x 8회 | 휴식 30초 | HOME","FEASIBILITY_CONFIRMED
INTEGRITY_VALIDATED
RECOVERY_CEILING_ENFORCED
TRAINING_DRAFT_KEPT",4.1,4.3,4.2,4.0,4.4,4.2,,HIGH,
HC-006,SQ-CONFLICT-003,conflict,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: DOWNSHIFT
예상 시간: 1197초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
2. [MAIN] ROW_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
3. [MAIN] OVERHEAD_PRESS_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
8. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
9. [MAIN] ROW_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
10. [MAIN] OVERHEAD_PRESS_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
11. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
12. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
13. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
14. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
15. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
16. [MAIN] ROW_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
17. [MAIN] OVERHEAD_PRESS_DUMBBELL | LOW | 1세트 x 8회 | 휴식 60초 | HOME
18. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
19. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
20. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
21. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 8회 | 휴식 30초 | HOME",,4.1,4.3,4.2,4.0,4.4,4.1,,HIGH,
HC-007,SQ-MODERATE-001,moderate,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 12
최소 휴식: 60초","조정: KEEP
예상 시간: 1292초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 2세트 x 8회 | 휴식 60초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | LOW | 2세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] DEAD_BUG | LOW | 2세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | LOW | 2세트 x 8회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | LOW | 2세트 x 8회 | 휴식 60초 | HOME
9. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 8회 | 휴식 60초 | HOME","BODYWEIGHT
DURATION_WITHIN_TOLERANCE
GENERAL_FITNESS
HOME
LOW
RECOVERY_CEILING_APPLIED",3.9,3.8,3.7,3.6,3.5,3.4,,HIGH,
HC-008,SQ-RAG-002,rag_retrieval,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW, MODERATE
운동당 최대 세트: 3
세트당 최대 반복: 15
최소 휴식: 30초","조정: DOWNSHIFT
예상 시간: 1176초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 1세트 x 8회 | 휴식 30초 | HOME
3. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
4. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
5. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
6. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
7. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
8. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
9. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
10. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
11. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
12. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
13. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
14. [MAIN] PUSHUP_KNEE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
15. [MAIN] PLANK_FOREARM | LOW | 1세트 x 8회 | 휴식 60초 | HOME
16. [MAIN] DEAD_BUG | LOW | 1세트 x 8회 | 휴식 60초 | HOME
17. [MAIN] GLUTE_BRIDGE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
18. [MAIN] WALL_SIT | LOW | 1세트 x 8회 | 휴식 60초 | HOME
19. [MAIN] LUNGE_FORWARD | LOW | 1세트 x 8회 | 휴식 60초 | HOME
20. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 30초 | HOME
21. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 8회 | 휴식 30초 | HOME",,4.2,4.1,4.0,4.3,4.2,4.2,,HIGH,
HC-009,SQ-SAFETY-001,safety_critical,"목표: GENERAL_FITNESS
장소: HOME
요청 시간: 20분
제외 운동 수: 3
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 10
최소 휴식: 60초","조정: KEEP
예상 시간: 1356초
1. [WARMUP] WARMUP_ARM_CIRCLE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 1세트 x 8회 | 휴식 60초 | HOME
3. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 10회 | 휴식 180초 | HOME
4. [MAIN] DEAD_BUG | LOW | 2세트 x 10회 | 휴식 180초 | HOME
5. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 10회 | 휴식 180초 | HOME
6. [MAIN] PLANK_FOREARM | LOW | 2세트 x 10회 | 휴식 180초 | HOME
7. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 1세트 x 8회 | 휴식 60초 | HOME
8. [COOLDOWN] COOLDOWN_CALF_STRETCH | LOW | 1세트 x 8회 | 휴식 60초 | HOME","BODYWEIGHT_ONLY
GENERAL_FITNESS
HOME_ONLY
LOW_INTENSITY_ONLY
RECOVERY_CEILING_APPLIED",3.9,3.8,3.7,3.6,3.5,3.4,,HIGH,
HC-010,SQ-CONFLICT-001,conflict,"목표: STRENGTH
장소: HOME
요청 시간: 20분
제외 운동 수: 0
허용 강도: LOW
운동당 최대 세트: 2
세트당 최대 반복: 10
최소 휴식: 90초","조정: RECOVERY
예상 시간: 1500초
1. [WARMUP] WARMUP_MARCH_IN_PLACE | LOW | 2세트 x 10회 | 휴식 90초 | HOME
2. [WARMUP] WARMUP_HIP_OPENER | LOW | 2세트 x 10회 | 휴식 90초 | HOME
3. [MAIN] SQUAT_BODYWEIGHT | LOW | 2세트 x 10회 | 휴식 90초 | HOME
4. [MAIN] PUSHUP_KNEE | LOW | 2세트 x 10회 | 휴식 90초 | HOME
5. [MAIN] LUNGE_FORWARD | LOW | 2세트 x 10회 | 휴식 90초 | HOME
6. [MAIN] GLUTE_BRIDGE | LOW | 2세트 x 10회 | 휴식 90초 | HOME
7. [COOLDOWN] COOLDOWN_CHILD_POSE | LOW | 2세트 x 10회 | 휴식 90초 | HOME
8. [COOLDOWN] COOLDOWN_HAMSTRING_STRETCH | LOW | 2세트 x 10회 | 휴식 90초 | HOME","BODYWEIGHT
HOME
LOW_INTENSITY
RECOVERY_CEILING_APPLIED
STRENGTH",3,3.1,3.2,3.3,3.4,3.5,,HIGH,
