review_item_id,item_type_code,family_code,representative_exercise_id,exercise_id,context_code,review_status_code,severity_code,reason_code,note_ko,production_eligible,user_review_decision_code,user_review_status
CTX-0002,INVALID_FAMILY_CODE,,REX-000057,REX-000057,,DOMAIN_APPROVED,BLOCKER,INVALID_FAMILY_CODE,대표운동의 family_code가 REVIEW_REQUIRED placeholder라 family default를 산출하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0012,INVALID_FAMILY_CODE,,REX-000071,REX-000071,,DOMAIN_APPROVED,BLOCKER,INVALID_FAMILY_CODE,대표운동의 family_code가 REVIEW_REQUIRED placeholder라 family default를 산출하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0013,GOAL_LINK_MISSING,ALL_FOURS_SQUAT_STRETCH,REX-000002,,HOME,DOMAIN_APPROVED,BLOCKER,GOAL_LINK_NOT_FOUND,대표운동 stable_code와 승인 goal link가 정확히 일치하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0014,PRESCRIPTION_MISSING,ALL_FOURS_SQUAT_STRETCH,REX-000002,,HOME,DOMAIN_APPROVED,BLOCKER,PRESCRIPTION_LINK_NOT_FOUND,대표운동 stable_code와 service prescription이 정확히 일치하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0015,GOAL_LINK_MISSING,ALL_FOURS_SQUAT_STRETCH,REX-000002,,GYM,DOMAIN_APPROVED,BLOCKER,GOAL_LINK_NOT_FOUND,대표운동 stable_code와 승인 goal link가 정확히 일치하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0016,PRESCRIPTION_MISSING,ALL_FOURS_SQUAT_STRETCH,REX-000002,,GYM,DOMAIN_APPROVED,BLOCKER,PRESCRIPTION_LINK_NOT_FOUND,대표운동 stable_code와 service prescription이 정확히 일치하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0018,VARIANT_CONTEXT_DEFAULT,BARBELL_FRONT_RAISE,REX-000005,VEX-000004,HOME,DOMAIN_APPROVED,REVIEW,DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED,Context 적합성 때문에 Variant를 1순위로 두었지만 관계·안전·FITT 검수 전에는 운영 사용하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0024,AMBIGUOUS_FAMILY_REPRESENTATIVE,CARDIO,,,HOME,DOMAIN_APPROVED,BLOCKER,MULTIPLE_REPRESENTATIVES_IN_FAMILY,하나의 family_code에 대표운동이 여러 개라 대표-Variant 방향과 Context Default를 확정하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0025,AMBIGUOUS_FAMILY_REPRESENTATIVE,CARDIO,,,GYM,DOMAIN_APPROVED,BLOCKER,MULTIPLE_REPRESENTATIVES_IN_FAMILY,하나의 family_code에 대표운동이 여러 개라 대표-Variant 방향과 Context Default를 확정하지 않는다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
CTX-0027,CONTEXT_DEFAULT_UNAVAILABLE,EXERCISE_BALL_HIP_FLEXOR_STRETCH,REX-000033,,HOME,DOMAIN_APPROVED,BLOCKER,LOCATION_NOT_DECLARED,동일 family 내부에 해당 context에서 사용할 대표/Variant 후보가 없다.,false,USER_DIRECT_REVIEW_2026_08_29,COMPLETED
