catalog_version_code,selection_policy_version,family_code,representative_exercise_id,representative_exercise_ids,context_code,default_exercise_id,priority_rank,default_record_type,default_variant_type_code,default_name_ko,default_equipment_codes,fallback_candidates,context_default_status_code,review_status_code,review_reason_codes,production_eligible,decision_note_ko
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ABS_CORE_BRACE,REX-000001,"[""REX-000001""]",GYM,REX-000001,1,REPRESENTATIVE,,누워서 복부 수축하기,"[""MAT""]",[],COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ABS_CORE_BRACE,REX-000001,"[""REX-000001""]",HOME,REX-000001,1,REPRESENTATIVE,,누워서 복부 수축하기,"[""MAT""]",[],COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ALL_FOURS_SQUAT_STRETCH,REX-000002,"[""REX-000002""]",GYM,REX-000002,1,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,"[""BODYWEIGHT""]",[],REVIEW_REQUIRED,REVIEW_REQUIRED,"[""GOAL_LINK_NOT_FOUND"",""PRESCRIPTION_LINK_NOT_FOUND""]",false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ALL_FOURS_SQUAT_STRETCH,REX-000002,"[""REX-000002""]",HOME,REX-000002,1,REPRESENTATIVE,,네발기기 대퇴사두근 스트레칭,"[""BODYWEIGHT""]",[],REVIEW_REQUIRED,REVIEW_REQUIRED,"[""GOAL_LINK_NOT_FOUND"",""PRESCRIPTION_LINK_NOT_FOUND""]",false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ANKLE_CIRCLES,REX-000003,"[""REX-000003""]",GYM,REX-000003,1,REPRESENTATIVE,,발목 돌리기,"[""BODYWEIGHT""]",[],COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,ANKLE_CIRCLES,REX-000003,"[""REX-000003""]",HOME,REX-000003,1,REPRESENTATIVE,,발목 돌리기,"[""BODYWEIGHT""]",[],COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,BARBELL_DEADLIFT,REX-000004,"[""REX-000004""]",GYM,REX-000004,1,REPRESENTATIVE,,데드리프트,"[""BARBELL""]","[{""candidate_exercise_id"":""VEX-000003"",""priority_rank"":2,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""케틀벨 스모 데드리프트"",""stable_code"":""kettlebell_sumo_deadlift_hip_dominant_kettlebell"",""equipment_codes"":[""KETTLEBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000001"",""priority_rank"":3,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 데드리프트"",""stable_code"":""dumbbell_deadlift_hip_dominant_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""INTERMEDIATE"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000002"",""priority_rank"":4,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 데드리프트"",""stable_code"":""dumbbell_deadlift_hip_dominant_dumbbell_nex_000186"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""INTERMEDIATE"",""review_status_code"":""REVIEW_REQUIRED""}]",COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,BARBELL_DEADLIFT,REX-000004,"[""REX-000004""]",HOME,VEX-000001,1,VARIANT,PRIMARY_VARIANT,덤벨 데드리프트,"[""DUMBBELL""]",[],REVIEW_REQUIRED,REVIEW_REQUIRED,"[""DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED""]",false,대표운동이 context에 없으므로 같은 family의 Variant를 1순위로 두되 운영 승격은 보류한다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,BARBELL_FRONT_RAISE,REX-000005,"[""REX-000005""]",GYM,REX-000005,1,REPRESENTATIVE,,프론트 레이즈,"[""BARBELL""]","[{""candidate_exercise_id"":""VEX-000004"",""priority_rank"":2,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 프론트 레이즈"",""stable_code"":""dumbbell_front_raise_v_2_isolation_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000005"",""priority_rank"":3,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 프론트 레이즈"",""stable_code"":""dumbbell_front_raise_isolation_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000006"",""priority_rank"":4,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 시티드 교대 프론트 레이즈"",""stable_code"":""dumbbell_seated_alternate_front_raise_isolation_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000007"",""priority_rank"":5,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""밴드 프론트 레이즈"",""stable_code"":""band_front_raise_isolation_resistance_band"",""equipment_codes"":[""RESISTANCE_BAND""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""}]",COVERED_DRAFT,DOMAIN_APPROVED,[],false,대표운동을 1순위로 유지하고 같은 family의 Variant를 fallback으로 둔다.
exercise-catalog-v2.0.2-final,v2.0.2-context-defaults-coverage-v1.0.0,BARBELL_FRONT_RAISE,REX-000005,"[""REX-000005""]",HOME,VEX-000004,1,VARIANT,PRIMARY_VARIANT,덤벨 프론트 레이즈,"[""DUMBBELL""]","[{""candidate_exercise_id"":""VEX-000005"",""priority_rank"":2,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 프론트 레이즈"",""stable_code"":""dumbbell_front_raise_isolation_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000006"",""priority_rank"":3,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""덤벨 시티드 교대 프론트 레이즈"",""stable_code"":""dumbbell_seated_alternate_front_raise_isolation_dumbbell"",""equipment_codes"":[""DUMBBELL""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""},{""candidate_exercise_id"":""VEX-000007"",""priority_rank"":4,""record_type"":""VARIANT"",""variant_type_code"":""PRIMARY_VARIANT"",""name_ko"":""밴드 프론트 레이즈"",""stable_code"":""band_front_raise_isolation_resistance_band"",""equipment_codes"":[""RESISTANCE_BAND""],""difficulty_code"":""BEGINNER"",""review_status_code"":""REVIEW_REQUIRED""}]",REVIEW_REQUIRED,REVIEW_REQUIRED,"[""DEFAULT_VARIANT_RELATION_REVIEW_REQUIRED""]",false,대표운동이 context에 없으므로 같은 family의 Variant를 1순위로 두되 운영 승격은 보류한다.
