body_focus_code,catalog_version_code,default_rest_seconds,default_seconds_per_rep,default_transition_seconds,default_work_seconds,difficulty_code,difficulty_status,equipment_codes,form_cues_ko,instruction_content_version,instruction_summary_ko,location_codes,name_en,name_ko,primary_body_area_codes,primary_movement_pattern_code,production_eligible,recovery_eligible,representative_exercise_id,review_status_code,secondary_body_area_codes,source_identity,source_track,stable_code,timing_mode_code,training_type_code,canonical_status,canonical_decision_code,canonical_decision_source,canonical_decision_note_ko,v1_exercise_ids,record_type,allowed_experience_level_codes,fitt_template_ids_by_experience,fitt_mapping_exception_code,fitt_mapping_note,mapping_source_exercise_id,review_required
CORE,exercise-catalog-v2.0.2-final,90,,15,30,BEGINNER,APPROVED,['MAT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,복부 브레이싱 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,['HOME'],누워서 배가로근 수축1,누워서 복부 수축하기,['ABDOMEN'],CORE_BRACE,False,False,REX-000001,DOMAIN_APPROVED,['LOWER_BACK'],9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,kspo,abs_core_brace_core_brace_mat,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
MOBILITY,exercise-catalog-v2.0.2-final,30,,15,30,INTERMEDIATE,APPROVED,['BODYWEIGHT'],"['편안한 시작 자세를 잡고 주변 공간을 확인한다.', '숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다.', '당김이 느껴지는 범위에서 잠시 멈춘다.', '반동 없이 시작 자세로 천천히 돌아온다.']",representative-content-v0.1.0,네발기기 스쿼트 스트레칭 운동은 무릎·고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"['HOME', 'GYM']",all fours squad stretch,쿼드러펫 락백,"['KNEE', 'HIP']",MOBILITY_STRETCH,False,True,REX-000002,DOMAIN_APPROVED,['ANKLE_FOOT'],1512,gymvisual,all_fours_squat_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
MOBILITY,exercise-catalog-v2.0.2-final,30,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['편안한 시작 자세를 잡고 주변 공간을 확인한다.', '숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다.', '당김이 느껴지는 범위에서 잠시 멈춘다.', '반동 없이 시작 자세로 천천히 돌아온다.']",representative-content-v0.1.0,발목 돌리기 운동은 발목과 발 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"['HOME', 'GYM']",ankle circles,발목 돌리기,['ANKLE_FOOT'],MOBILITY_STRETCH,False,True,REX-000003,DOMAIN_APPROVED,['KNEE'],1368,gymvisual,ankle_circles_mobility_stretch_bodyweight,DURATION,MOBILITY,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
GLUTES,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BARBELL'],"['발을 편하게 두고 기구나 주변을 안정적으로 준비한다.', '엉덩이를 뒤로 보내며 상체를 천천히 기울인다.', '등과 목을 편안히 두고 엉덩이로 힘을 낸다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,데드리프트 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,['GYM'],barbell deadlift,데드리프트,['HIP'],HIP_DOMINANT,False,False,REX-000004,DOMAIN_APPROVED,"['KNEE', 'LOWER_BACK']",0032,gymvisual,barbell_deadlift_hip_dominant_barbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
SHOULDERS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['BARBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,프론트 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,['GYM'],barbell front raise,프론트 레이즈,['SHOULDER'],ISOLATION,False,False,REX-000005,DOMAIN_APPROVED,['ELBOW'],0041,gymvisual,barbell_front_raise_isolation_barbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BACK,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BARBELL'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,풀오버 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,['GYM'],barbell pullover,풀오버,['UPPER_BACK'],ISOLATION,False,False,REX-000006,DOMAIN_APPROVED,"['CHEST', 'ELBOW']",0073,gymvisual,barbell_pullover_isolation_barbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
HAMSTRINGS,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BARBELL'],"['발을 편하게 두고 기구나 주변을 안정적으로 준비한다.', '엉덩이를 뒤로 보내며 상체를 천천히 기울인다.', '등과 목을 편안히 두고 엉덩이로 힘을 낸다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,루마니안 데드리프트 운동은 엉덩이를 뒤로 보내며 허벅지 뒤쪽을 사용하는 운동입니다.,['GYM'],barbell straight leg deadlift,루마니안 데드리프트,['HIP'],HIP_DOMINANT,False,False,REX-000007,DOMAIN_APPROVED,"['KNEE', 'LOWER_BACK']",0116,gymvisual,barbell_straight_leg_deadlift_hip_dominant_barbell,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BACK,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BODYWEIGHT'],"['발을 편하게 두고 기구나 주변을 안정적으로 준비한다.', '엉덩이를 뒤로 보내며 상체를 천천히 기울인다.', '등과 목을 편안히 두고 엉덩이로 힘을 낸다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,백 익스텐션 운동은 엉덩이를 뒤로 보내며 등을 사용하는 운동입니다.,"['HOME', 'GYM']",hyperextension,백 익스텐션,['LOWER_BACK'],HIP_DOMINANT,False,False,REX-000008,DOMAIN_APPROVED,"['HIP', 'UPPER_BACK']",0489,gymvisual,bodyweight_back_extension_hip_dominant_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CORE,exercise-catalog-v2.0.2-final,90,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"['HOME', 'GYM']",crunch floor,크런치,['ABDOMEN'],CORE_BRACE,False,False,REX-000009,DOMAIN_APPROVED,['LOWER_BACK'],0274,gymvisual,bodyweight_crunch_core_brace_bodyweight,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
GLUTES,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BODYWEIGHT'],"['발을 편하게 벌리고 양발에 무게를 나눈다.', '엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다.', '발바닥을 바닥에 두고 편한 범위까지만 내려간다.', '발로 바닥을 밀며 천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,포워드 런지 운동은 다리를 굽혔다 펴며 엉덩이를 사용하는 운동입니다.,"['HOME', 'GYM']",forward lunge (male),포워드 런지,"['HIP', 'KNEE']",KNEE_DOMINANT,False,False,REX-000010,DOMAIN_APPROVED,['ANKLE_FOOT'],3470,gymvisual,bodyweight_forward_lunge_knee_dominant_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
GLUTES,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['BODYWEIGHT'],"['발을 편하게 두고 기구나 주변을 안정적으로 준비한다.', '엉덩이를 뒤로 보내며 상체를 천천히 기울인다.', '등과 목을 편안히 두고 엉덩이로 힘을 낸다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,글루트 브리지 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,"['HOME', 'GYM']",low glute bridge on floor,글루트 브리지,['HIP'],HIP_DOMINANT,False,False,REX-000011,DOMAIN_APPROVED,"['KNEE', 'LOWER_BACK']",3013,gymvisual,bodyweight_glute_bridge_hip_dominant_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
BICEPS,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,"['BODYWEIGHT', 'PULL_UP_BAR']","['손잡이를 안정적으로 잡고 몸을 준비한다.', '어깨를 내린 채 팔꿈치를 아래로 당긴다.', '조절할 수 있는 범위까지만 당긴다.', '팔을 천천히 펴며 시작 위치로 돌아온다.']",representative-content-v0.1.0,풀업 운동은 팔꿈치를 아래로 당기며 팔 앞쪽을 사용하는 운동입니다.,"['HOME', 'GYM']",biceps pull-up,풀업,['ELBOW'],VERTICAL_PULL,False,False,REX-000012,DOMAIN_APPROVED,"['UPPER_BACK', 'WRIST_HAND']",0140,gymvisual,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CORE,exercise-catalog-v2.0.2-final,90,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,리버스 크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"['HOME', 'GYM']",reverse crunch,리버스 크런치,['ABDOMEN'],CORE_BRACE,False,False,REX-000013,DOMAIN_APPROVED,['LOWER_BACK'],0872,gymvisual,bodyweight_reverse_crunch_core_brace_bodyweight,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CORE,exercise-catalog-v2.0.2-final,90,,15,30,INTERMEDIATE,APPROVED,['BODYWEIGHT'],"['안내된 시작 자세를 안정적으로 잡는다.', '배 주변에 가볍게 힘을 주고 숨을 쉰다.', '몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다.', '천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,러시안 트위스트 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"['HOME', 'GYM']",russian twist,러시안 트위스트,['ABDOMEN'],CORE_BRACE,False,False,REX-000014,DOMAIN_APPROVED,['LOWER_BACK'],0687,gymvisual,bodyweight_russian_twist_core_brace_bodyweight,DURATION,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
QUADRICEPS,exercise-catalog-v2.0.2-final,90,4,15,,INTERMEDIATE,APPROVED,['BODYWEIGHT'],"['발을 편하게 벌리고 양발에 무게를 나눈다.', '엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다.', '발바닥을 바닥에 두고 편한 범위까지만 내려간다.', '발로 바닥을 밀며 천천히 시작 자세로 돌아온다.']",representative-content-v0.1.0,스플릿 스쿼트 운동은 다리를 굽혔다 펴며 허벅지 앞쪽을 사용하는 운동입니다.,"['HOME', 'GYM']",split squats,스플릿 스쿼트,"['KNEE', 'HIP']",KNEE_DOMINANT,False,False,REX-000015,DOMAIN_APPROVED,['ANKLE_FOOT'],2368,gymvisual,bodyweight_split_squat_knee_dominant_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CALVES,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['BODYWEIGHT'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,스탠딩 카프 레이즈 운동은 다른 부위의 움직임을 줄이고 종아리를 집중해 사용하는 운동입니다.,"['HOME', 'GYM']",bodyweight standing calf raise,스탠딩 카프 레이즈,['ANKLE_FOOT'],ISOLATION,False,False,REX-000016,DOMAIN_APPROVED,['KNEE'],1373,gymvisual,bodyweight_standing_calf_raise_isolation_bodyweight,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
MOBILITY,exercise-catalog-v2.0.2-final,30,,15,30,BEGINNER,APPROVED,['BODYWEIGHT'],"['편안한 시작 자세를 잡고 주변 공간을 확인한다.', '숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다.', '당김이 느껴지는 범위에서 잠시 멈춘다.', '반동 없이 시작 자세로 천천히 돌아온다.']",representative-content-v0.1.0,버터플라이 스트레칭 운동은 고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"['HOME', 'GYM']",butterfly yoga pose,버터플라이 스트레칭,['HIP'],MOBILITY_STRETCH,False,True,REX-000017,DOMAIN_APPROVED,['KNEE'],1494,gymvisual,butterfly_adductor_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
CHEST,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['CABLE_MACHINE'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,케이블 플라이 운동은 다른 부위의 움직임을 줄이고 가슴을 집중해 사용하는 운동입니다.,['GYM'],cable standing fly,케이블 플라이,['CHEST'],ISOLATION,False,False,REX-000018,DOMAIN_APPROVED,['SHOULDER'],0227,gymvisual,cable_fly_isolation_cable_machine,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
TRICEPS,exercise-catalog-v2.0.2-final,90,4,15,,BEGINNER,APPROVED,['CABLE_MACHINE'],"['시작 자세와 기구를 안정적으로 준비한다.', '안내된 부위를 중심으로 천천히 움직인다.', '끝 범위에서 힘을 잠시 유지한다.', '반동 없이 시작 자세로 돌아온다.']",representative-content-v0.1.0,케이블 트라이셉스 푸시다운 운동은 다른 부위의 움직임을 줄이고 팔 뒤쪽을 집중해 사용하는 운동입니다.,['GYM'],cable pushdown,케이블 트라이셉스 푸시다운,['ELBOW'],ISOLATION,False,False,REX-000019,DOMAIN_APPROVED,['SHOULDER'],0201,gymvisual,cable_triceps_pushdown_isolation_cable_machine,REPS,STRENGTH,ACTIVE_CANONICAL_RETAINED,RETAINED_CANONICAL,EXISTING_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,[],,,,,,,
