representative_exercise_id,stable_code_before,stable_code_after,field_name,old_value,new_value,alias_value,canonical_value,alias_type,migration_status,migration_target,evidence_reference,note_ko,change_type,decision_code,decision_status
REX-000001,abs_core_brace_core_brace_mat,abs_core_brace_core_brace_mat,name_en,누워서 배가로근 수축1,,누워서 배가로근 수축1,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000001,integrated_exercise_review_updated.csv:kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,name_en,all fours squad stretch,quadruped quadriceps stretch,all fours squad stretch,quadruped quadriceps stretch,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000002,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,display_name_ko,쿼드러펫 락백,네발기기 대퇴사두근 스트레칭,쿼드러펫 락백,네발기기 대퇴사두근 스트레칭,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000002,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,stable_code,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,STABLE_CODE_MIGRATION,MIGRATION_REQUIRED_BEFORE_FK_CUTOVER,REX-000002,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,STABLE_CODE_MIGRATION,STABLE_CODE_IDENTITY_MIGRATION,APPLIED
REX-000057,hip_flexion_isolation_bodyweight,hip_flexion_isolation_bodyweight,name_en,의자잡고 전방으로 무릎 굽혀 들기,,의자잡고 전방으로 무릎 굽혀 들기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000057,integrated_exercise_review_updated.csv:kspo:46ea8fdbe34474fac354a051f63b114e0a6d20a21f71226ae0db5da216d14861,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000063,hip_adduction_isolation_stability_ball,hip_adduction_isolation_stability_ball,name_en,의자에 앉아 다리로 짐볼 쥐기,,의자에 앉아 다리로 짐볼 쥐기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000063,integrated_exercise_review_updated.csv:kspo:66e29f752b845bd1bcfa4cb737be1ede40daa81d869ea4b531c882b02ffb3c28,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000064,hip_flexion_isolation_bodyweight_rex_000064,hip_flexion_isolation_bodyweight_rex_000064,name_en,앉아서 엉덩관절 굽히기,,앉아서 엉덩관절 굽히기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000064,integrated_exercise_review_updated.csv:kspo:dfd7eaa07d42e118610eb6756d8dcdc351f5b1f3c9a1262fa94aa18d92a87e09,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000066,mobility_balance_bodyweight,mobility_balance_bodyweight,name_en,FITT-CORE-STABILITY-V1,,FITT-CORE-STABILITY-V1,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000066,integrated_exercise_review_updated.csv:kspo:19af0f76cad5e01830e662585e3cea621cf8563f1955f83114bef440606379c4,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000068,cardio_gait_step_box,cardio_gait_step_box,name_en,스텝박스 오르내리기,,스텝박스 오르내리기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000068,integrated_exercise_review_updated.csv:kspo:00c41c823f6141adb2f3b7da95c1213fea98dac6cb3bfaf453f1a4989133d2d2,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
REX-000069,leg_press_knee_dominant_resistance_band,leg_press_knee_dominant_resistance_band,name_en,밴드 잡고 누워서 다리 밀기,,밴드 잡고 누워서 다리 밀기,,ALIAS_PRESERVED,PRESERVED_ACTIVE_HISTORY,REX-000069,integrated_exercise_review_updated.csv:kspo:72cc612abf8747105b33f64e0661b713012fb3f2ae378cd5c5142215eedc899b,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED
