source_record_type,source_record_id,source_track,source_identity,source_key,source_name_ko,source_name_en,source_stable_code,final_stable_code,final_representative_exercise_id,mapping_status,active_canonical,decision_source,decision_code,review_pair_id,mapping_note_ko,active_legacy_alias_row
EXERCISE,REX-000002,gymvisual,1512,gymvisual:1512,쿼드러펫 락백,all fours squad stretch,all_fours_squat_stretch_mobility_stretch_bodyweight,all_fours_squat_stretch_mobility_stretch_bodyweight,REX-000002,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000003,gymvisual,1368,gymvisual:1368,발목 돌리기,ankle circles,ankle_circles_mobility_stretch_bodyweight,ankle_circles_mobility_stretch_bodyweight,REX-000003,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000004,gymvisual,0032,gymvisual:0032,데드리프트,barbell deadlift,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,REX-000004,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000005,gymvisual,0041,gymvisual:0041,프론트 레이즈,barbell front raise,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,REX-000005,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000006,gymvisual,0073,gymvisual:0073,풀오버,barbell pullover,barbell_pullover_isolation_barbell,barbell_pullover_isolation_barbell,REX-000006,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000007,gymvisual,0116,gymvisual:0116,루마니안 데드리프트,barbell straight leg deadlift,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,REX-000007,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000008,gymvisual,0489,gymvisual:0489,백 익스텐션,hyperextension,bodyweight_back_extension_hip_dominant_bodyweight,bodyweight_back_extension_hip_dominant_bodyweight,REX-000008,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000009,gymvisual,0274,gymvisual:0274,크런치,crunch floor,bodyweight_crunch_core_brace_bodyweight,bodyweight_crunch_core_brace_bodyweight,REX-000009,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000010,gymvisual,3470,gymvisual:3470,포워드 런지,forward lunge (male),bodyweight_forward_lunge_knee_dominant_bodyweight,bodyweight_forward_lunge_knee_dominant_bodyweight,REX-000010,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000011,gymvisual,3013,gymvisual:3013,글루트 브리지,low glute bridge on floor,bodyweight_glute_bridge_hip_dominant_bodyweight,bodyweight_glute_bridge_hip_dominant_bodyweight,REX-000011,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000012,gymvisual,0140,gymvisual:0140,풀업,biceps pull-up,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,REX-000012,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000013,gymvisual,0872,gymvisual:0872,리버스 크런치,reverse crunch,bodyweight_reverse_crunch_core_brace_bodyweight,bodyweight_reverse_crunch_core_brace_bodyweight,REX-000013,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000014,gymvisual,0687,gymvisual:0687,러시안 트위스트,russian twist,bodyweight_russian_twist_core_brace_bodyweight,bodyweight_russian_twist_core_brace_bodyweight,REX-000014,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000015,gymvisual,2368,gymvisual:2368,스플릿 스쿼트,split squats,bodyweight_split_squat_knee_dominant_bodyweight,bodyweight_split_squat_knee_dominant_bodyweight,REX-000015,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000016,gymvisual,1373,gymvisual:1373,스탠딩 카프 레이즈,bodyweight standing calf raise,bodyweight_standing_calf_raise_isolation_bodyweight,bodyweight_standing_calf_raise_isolation_bodyweight,REX-000016,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000017,gymvisual,1494,gymvisual:1494,버터플라이 스트레칭,butterfly yoga pose,butterfly_adductor_stretch_mobility_stretch_bodyweight,butterfly_adductor_stretch_mobility_stretch_bodyweight,REX-000017,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000018,gymvisual,0227,gymvisual:0227,케이블 플라이,cable standing fly,cable_fly_isolation_cable_machine,cable_fly_isolation_cable_machine,REX-000018,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000019,gymvisual,0201,gymvisual:0201,케이블 트라이셉스 푸시다운,cable pushdown,cable_triceps_pushdown_isolation_cable_machine,cable_triceps_pushdown_isolation_cable_machine,REX-000019,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000020,gymvisual,1548,gymvisual:1548,시티드 레그 익스텐션 스트레칭,chair leg extended stretch,chair_leg_extended_stretch_mobility_stretch_bodyweight,chair_leg_extended_stretch_mobility_stretch_bodyweight,REX-000020,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000021,gymvisual,1271,gymvisual:1271,가슴·어깨 앞면 스트레칭,chest and front of shoulder stretch,chest_front_shoulder_stretch_mobility_stretch_bodyweight,chest_front_shoulder_stretch_mobility_stretch_bodyweight,REX-000021,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000022,gymvisual,0259,gymvisual:0259,클로즈 그립 푸시업,close-grip push-up,close_grip_push_up_horizontal_push_bodyweight,close_grip_push_up_horizontal_push_bodyweight,REX-000022,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000023,gymvisual,0691,gymvisual:0691,사이드 크런치,seated side crunch (wall),crunch_variant_core_brace_bodyweight,crunch_variant_core_brace_bodyweight,REX-000023,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000024,gymvisual,0276,gymvisual:0276,데드버그,dead bug,dead_bug_core_brace_bodyweight,dead_bug_core_brace_bodyweight,REX-000024,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000025,gymvisual,1760,gymvisual:1760,고블릿 스쿼트,dumbbell goblet squat,dumbbell_goblet_squat_knee_dominant_dumbbell,dumbbell_goblet_squat_knee_dominant_dumbbell,REX-000025,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000026,gymvisual,0334,gymvisual:0334,레터럴 레이즈,dumbbell lateral raise,dumbbell_lateral_raise_isolation_dumbbell,dumbbell_lateral_raise_isolation_dumbbell,REX-000026,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000027,gymvisual,0372,gymvisual:0372,프리처 컬,dumbbell preacher curl,dumbbell_preacher_curl_isolation_dumbbell,dumbbell_preacher_curl_isolation_dumbbell,REX-000027,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
EXERCISE,REX-000028,gymvisual,0378,gymvisual:0378,리어 델트 플라이,dumbbell rear fly,dumbbell_rear_fly_isolation_dumbbell,dumbbell_rear_fly_isolation_dumbbell,REX-000028,RETAINED_CANONICAL,true,EXISTING_CANONICAL,RETAINED_CANONICAL,,기존 canonical stable code 유지,
