candidate_pair_id,candidate_relation_code,relation_status,decision_source,review_status_code,production_eligible,left_record_id,right_record_id,left_source_key,right_source_key,left_final_stable_code,right_final_stable_code,left_name_ko,right_name_ko,note_ko
ERP-20260827-00001,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000032,REX-000004,v1:NEX-000032,gymvisual:0032,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,덤벨 데드리프트,데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00002,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000186,REX-000004,v1:NEX-000186,gymvisual:0032,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,덤벨 데드리프트,데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00003,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000192,REX-000004,v1:NEX-000192,gymvisual:0032,barbell_deadlift_hip_dominant_barbell,barbell_deadlift_hip_dominant_barbell,케틀벨 스모 데드리프트,데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00004,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,REX-000004,REX-000007,gymvisual:0032,gymvisual:0116,barbell_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00005,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000035,REX-000005,v1:NEX-000035,gymvisual:0041,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,덤벨 프론트 레이즈,프론트 레이즈,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00006,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000036,REX-000005,v1:NEX-000036,gymvisual:0041,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,덤벨 프론트 레이즈,프론트 레이즈,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00007,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000053,REX-000005,v1:NEX-000053,gymvisual:0041,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,덤벨 시티드 교대 프론트 레이즈,프론트 레이즈,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00008,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000098,REX-000005,v1:NEX-000098,gymvisual:0041,barbell_front_raise_isolation_barbell,barbell_front_raise_isolation_barbell,밴드 프론트 레이즈,프론트 레이즈,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00009,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000003,REX-000006,v1:NEX-000003,gymvisual:0073,barbell_pullover_isolation_barbell,barbell_pullover_isolation_barbell,바벨 디클라인 와이드그립 풀오버,풀오버,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00010,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000061,REX-000007,v1:NEX-000061,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,덤벨 스티프 레그 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00011,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000062,REX-000007,v1:NEX-000062,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,덤벨 스트레이트 레그 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00012,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000104,REX-000007,v1:NEX-000104,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,밴드 스티프 레그 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00013,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000107,REX-000007,v1:NEX-000107,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,밴드 스트레이트 등 스티프 레그 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00014,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000193,REX-000007,v1:NEX-000193,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,덤벨 루마니안 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
ERP-20260827-00015,PRIMARY_VARIANT,VARIANT_CANDIDATE,AUTO_RULE,REVIEW_REQUIRED,False,NEX-000205,REX-000007,v1:NEX-000205,gymvisual:0116,barbell_straight_leg_deadlift_hip_dominant_barbell,barbell_straight_leg_deadlift_hip_dominant_barbell,루마니안 데드리프트,루마니안 데드리프트,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.
