representative_exercise_id,stable_code,name_ko,display_name_ko,name_en,training_type_code,primary_movement_pattern_code,body_focus_code,primary_body_area_codes,secondary_body_area_codes,equipment_codes,location_codes,setup_condition_ko,difficulty_code,timing_mode_code,phase_codes,default_seconds_per_rep,default_work_seconds,default_rest_seconds,default_transition_seconds,instruction_summary_ko,form_cues_ko,instruction_content_version,source_track,source_identity,source_key,legacy_source_track,legacy_source_identity,legacy_source_key,source_system,source_record_id,source_name,source_name_en,source_name_ko,source_url,source_author,source_license,source_license_author,license_id,license_name,license_version,license_url,attribution_text,accessed_at,license_review_status,source_media_reference,source_media_id,source_instruction_en,source_instruction_steps_en,source_provenance_status,source_license_status,instruction_identity_status,timing_phase_review_status,review_status_code,review_required,review_required_codes,canonical_decision_code,canonical_decision_note_ko,canonical_decision_source,canonical_status,catalog_version_code,difficulty_status,production_eligible,recovery_eligible,v1_exercise_ids,allowed_experience_level_codes,fitt_mapping_exception_code,fitt_mapping_note,fitt_template_ids_by_experience,mapping_source_exercise_id,record_type
REX-000001,abs_core_brace_core_brace_mat,누워서 복부 수축하기,누워서 복부 수축하기,,STRENGTH,CORE_BRACE,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""MAT""]","[""HOME""]",,BEGINNER,DURATION,"[""MAIN""]",,30,90,15,복부 브레이싱 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,kspo,9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,,,,kspo,9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,누워서 배가로근 수축1,,누워서 배가로근 수축1,https://www.data.go.kr/data/15108846/openapi.do,서울올림픽기념국민체육진흥공단,KOGL_TYPE_1,서울올림픽기념국민체육진흥공단 — https://www.data.go.kr/data/15108846/openapi.do,KOGL_TYPE_1,공공누리 제1유형,1,https://www.kogl.or.kr/info/license.do,서울올림픽기념국민체육진흥공단 — https://www.data.go.kr/data/15108846/openapi.do,REVIEW_REQUIRED,REVIEW_REQUIRED,file:0AUDLJ08S_00234.mp4;frames:6,9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,,,RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000002,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,네발기기 대퇴사두근 스트레칭,네발기기 대퇴사두근 스트레칭,quadruped quadriceps stretch,MOBILITY,MOBILITY_STRETCH,MOBILITY,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",손과 무릎을 지지할 안정적인 바닥 공간을 확보한다.,INTERMEDIATE,DURATION,"[""WARMUP"",""COOLDOWN""]",,30,30,15,네발기기 자세에서 한쪽 다리를 뒤로 뻗고 무릎을 굽힌 채 엉덩이를 낮춰 허벅지 앞쪽을 스트레칭합니다.,"[""손은 어깨 아래, 무릎은 고관절 아래에 둔다."",""한쪽 다리를 뒤로 뻗되 무릎을 굽히고 발을 세운다."",""엉덩이를 천천히 낮춰 허벅지 앞쪽이 당기는 범위를 찾는다."",""20~30초 유지한 뒤 반대쪽도 같은 방법으로 진행한다.""]",representative-content-v0.1.0,gymvisual,1512,gymvisual:1512,,,,gymvisual,1512,all fours squad stretch,all fours squad stretch,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/1512-qBcKorM.jpg;gif:videos/1512-qBcKorM.gif,qBcKorM,"Start on all fours with your hands directly under your shoulders and your knees directly under your hips. Extend one leg straight back, keeping your knee bent and your foot flexed. Slowly lower your hips towards the ground, feeling a stretch in your quads. Hold this position for 20-30 seconds. Switch legs and repeat the stretch on the other side.","[""Start on all fours with your hands directly under your shoulders and your knees directly under your hips."", ""Extend one leg straight back, keeping your knee bent and your foot flexed."", ""Slowly lower your hips towards the ground, feeling a stretch in your quads."", ""Hold this position for 20-30 seconds."", ""Switch legs and repeat the stretch on the other side.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REVIEW_REQUIRED,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""INSTRUCTION_SOURCE_REFINED_FROM_IMAGE_AND_TEXT_REVIEW"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,True,[],,,,,,
REX-000003,ankle_circles_mobility_stretch_bodyweight,발목 돌리기,발목 돌리기,ankle circles,MOBILITY,MOBILITY_STRETCH,MOBILITY,"[""ANKLE_FOOT""]","[""KNEE""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",,BEGINNER,DURATION,"[""WARMUP"",""COOLDOWN""]",,30,30,15,발목 돌리기 운동은 발목과 발 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]",representative-content-v0.1.0,gymvisual,1368,gymvisual:1368,,,,gymvisual,1368,ankle circles,ankle circles,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/1368-uL9CsKm.jpg;gif:videos/1368-uL9CsKm.gif,uL9CsKm,"Sit on the ground with your legs extended in front of you. Lift one leg off the ground and rotate your ankle in a circular motion. Perform the desired number of circles in one direction, then switch to the other direction. Repeat with the other leg.","[""Sit on the ground with your legs extended in front of you."", ""Lift one leg off the ground and rotate your ankle in a circular motion."", ""Perform the desired number of circles in one direction, then switch to the other direction."", ""Repeat with the other leg.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,True,[],,,,,,
REX-000004,barbell_deadlift_hip_dominant_barbell,데드리프트,데드리프트,barbell deadlift,STRENGTH,HIP_DOMINANT,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BARBELL""]","[""GYM""]",,INTERMEDIATE,REPS,"[""MAIN""]",4,,90,15,데드리프트 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0032,gymvisual:0032,,,,gymvisual,0032,barbell deadlift,barbell deadlift,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0032-ila4NZS.jpg;gif:videos/0032-ila4NZS.gif,ila4NZS,"Stand with your feet shoulder-width apart and the barbell on the ground in front of you. Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees. As you stand up straight, squeeze your glutes and keep your core engaged. Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight. Repeat for the desired number of repetitions.","[""Stand with your feet shoulder-width apart and the barbell on the ground in front of you."", ""Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart."", ""Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees."", ""As you stand up straight, squeeze your glutes and keep your core engaged."", ""Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000005,barbell_front_raise_isolation_barbell,프론트 레이즈,프론트 레이즈,barbell front raise,STRENGTH,ISOLATION,SHOULDERS,"[""SHOULDER""]","[""ELBOW""]","[""BARBELL""]","[""GYM""]",,BEGINNER,REPS,"[""MAIN""]",4,,90,15,프론트 레이즈 운동은 다른 부위의 움직임을 줄이고 어깨를 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0041,gymvisual:0041,,,,gymvisual,0041,barbell front raise,barbell front raise,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0041-b2Uoz54.jpg;gif:videos/0041-b2Uoz54.gif,b2Uoz54,"Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip. Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level. Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Repeat for the desired number of repetitions.","[""Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip."", ""Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level."", ""Pause for a moment at the top, then slowly lower the barbell back down to the starting position."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000006,barbell_pullover_isolation_barbell,풀오버,풀오버,barbell pullover,STRENGTH,ISOLATION,BACK,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]","[""BARBELL""]","[""GYM""]",안정적인 지지물(벤치 또는 의자 등)을 준비한다.,INTERMEDIATE,REPS,"[""MAIN""]",4,,90,15,풀오버 운동은 다른 부위의 움직임을 줄이고 등을 집중해 사용하는 운동입니다.,"[""시작 자세와 기구를 안정적으로 준비한다."",""안내된 부위를 중심으로 천천히 움직인다."",""끝 범위에서 힘을 잠시 유지한다."",""반동 없이 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0073,gymvisual:0073,,,,gymvisual,0073,barbell pullover,barbell pullover,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0073-i6LWjok.jpg;gif:videos/0073-i6LWjok.gif,i6LWjok,"Lie flat on a bench with your head at one end and your feet on the floor. Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats. Pause for a moment, then raise the barbell back to the starting position. Repeat for the desired number of repetitions.","[""Lie flat on a bench with your head at one end and your feet on the floor."", ""Hold a barbell with a shoulder-width grip and extend your arms straight above your chest."", ""Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats."", ""Pause for a moment, then raise the barbell back to the starting position."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000007,barbell_straight_leg_deadlift_hip_dominant_barbell,루마니안 데드리프트,루마니안 데드리프트,barbell straight leg deadlift,STRENGTH,HIP_DOMINANT,HAMSTRINGS,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BARBELL""]","[""GYM""]",,INTERMEDIATE,REPS,"[""MAIN""]",4,,90,15,루마니안 데드리프트 운동은 엉덩이를 뒤로 보내며 허벅지 뒤쪽을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0116,gymvisual:0116,,,,gymvisual,0116,barbell straight leg deadlift,barbell straight leg deadlift,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0116-hrVQWvE.jpg;gif:videos/0116-hrVQWvE.gif,hrVQWvE,"Stand with your feet shoulder-width apart and your toes pointing forward. Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Bend at your hips and lower the barbell towards the ground, keeping your back straight and your knees slightly bent. Lower the barbell until you feel a stretch in your hamstrings. Engage your hamstrings and glutes to lift the barbell back up to the starting position. Repeat for the desired number of repetitions.","[""Stand with your feet shoulder-width apart and your toes pointing forward."", ""Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart."", ""Bend at your hips and lower the barbell towards the ground, keeping your back straight and your knees slightly bent."", ""Lower the barbell until you feel a stretch in your hamstrings."", ""Engage your hamstrings and glutes to lift the barbell back up to the starting position."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000008,bodyweight_back_extension_hip_dominant_bodyweight,백 익스텐션,백 익스텐션,hyperextension,STRENGTH,HIP_DOMINANT,BACK,"[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",안정적인 지지물(벤치 또는 의자 등)을 준비한다.,INTERMEDIATE,REPS,"[""MAIN""]",4,,90,15,백 익스텐션 운동은 엉덩이를 뒤로 보내며 등을 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0489,gymvisual:0489,,,,gymvisual,0489,hyperextension,hyperextension,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0489-zhMwOwE.jpg;gif:videos/0489-zhMwOwE.gif,zhMwOwE,"Adjust the hyperextension bench so that your upper thighs are resting on the pad and your feet are secured. Cross your arms over your chest or place your hands behind your head. Lower your upper body towards the ground while keeping your back straight. Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs. Repeat for the desired number of repetitions.","[""Adjust the hyperextension bench so that your upper thighs are resting on the pad and your feet are secured."", ""Cross your arms over your chest or place your hands behind your head."", ""Lower your upper body towards the ground while keeping your back straight."", ""Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000009,bodyweight_crunch_core_brace_bodyweight,크런치,크런치,crunch floor,STRENGTH,CORE_BRACE,CORE,"[""ABDOMEN""]","[""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",,BEGINNER,DURATION,"[""MAIN""]",,30,90,15,크런치 운동은 몸통을 유지하며 몸통 주변에 힘을 쓰는 운동입니다.,"[""안내된 시작 자세를 안정적으로 잡는다."",""배 주변에 가볍게 힘을 주고 숨을 쉰다."",""몸통이 흔들리지 않는 범위에서 팔이나 다리를 움직인다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,0274,gymvisual:0274,,,,gymvisual,0274,crunch floor,crunch floor,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/0274-TFqbd8t.jpg;gif:videos/0274-TFqbd8t.gif,TFqbd8t,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engage your abs and lift your shoulders off the ground, curling forward towards your knees. Pause for a moment at the top, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions.","[""Lie flat on your back with your knees bent and feet flat on the ground."", ""Place your hands behind your head with your elbows pointing outwards."", ""Engage your abs and lift your shoulders off the ground, curling forward towards your knees."", ""Pause for a moment at the top, then slowly lower your shoulders back down to the starting position."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000010,bodyweight_forward_lunge_knee_dominant_bodyweight,포워드 런지,포워드 런지,forward lunge (male),STRENGTH,KNEE_DOMINANT,GLUTES,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",,BEGINNER,REPS,"[""MAIN""]",4,,90,15,포워드 런지 운동은 다리를 굽혔다 펴며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 벌리고 양발에 무게를 나눈다."",""엉덩이를 뒤로 보내며 무릎을 천천히 굽힌다."",""발바닥을 바닥에 두고 편한 범위까지만 내려간다."",""발로 바닥을 밀며 천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,3470,gymvisual:3470,,,,gymvisual,3470,forward lunge (male),forward lunge (male),,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/3470-kMzUs9Y.jpg;gif:videos/3470-kMzUs9Y.gif,kMzUs9Y,"Stand with your feet hip-width apart and hands on your hips. Take a big step forward with your right foot, lowering your body into a lunge position. Bend your right knee to about 90 degrees, keeping your knee aligned with your ankle. Push off with your right foot and return to the starting position. Repeat with your left leg, alternating sides for the desired number of repetitions.","[""Stand with your feet hip-width apart and hands on your hips."", ""Take a big step forward with your right foot, lowering your body into a lunge position."", ""Bend your right knee to about 90 degrees, keeping your knee aligned with your ankle."", ""Push off with your right foot and return to the starting position."", ""Repeat with your left leg, alternating sides for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
REX-000011,bodyweight_glute_bridge_hip_dominant_bodyweight,글루트 브리지,글루트 브리지,low glute bridge on floor,STRENGTH,HIP_DOMINANT,GLUTES,"[""HIP""]","[""KNEE"",""LOWER_BACK""]","[""BODYWEIGHT""]","[""HOME"",""GYM""]",,BEGINNER,REPS,"[""MAIN""]",4,,90,15,글루트 브리지 운동은 엉덩이를 뒤로 보내며 엉덩이를 사용하는 운동입니다.,"[""발을 편하게 두고 기구나 주변을 안정적으로 준비한다."",""엉덩이를 뒤로 보내며 상체를 천천히 기울인다."",""등과 목을 편안히 두고 엉덩이로 힘을 낸다."",""천천히 시작 자세로 돌아온다.""]",representative-content-v0.1.0,gymvisual,3013,gymvisual:3013,,,,gymvisual,3013,low glute bridge on floor,low glute bridge on floor,,https://github.com/hasaneyldrm/exercises-dataset,Aliaksandr Makatserchyk / Gym visual,MIT,© Gym visual — https://gymvisual.com/,MIT,MIT License,REVIEW_REQUIRED,https://opensource.org/license/mit/,© Aliaksandr Makatserchyk - Gym visual - https://gymvisual.com/,2026-08-20T00:00:00+09:00,PARTIALLY_REVIEWED,image:images/3013-u0cNiij.jpg;gif:videos/3013-u0cNiij.gif,u0cNiij,"Lie flat on your back with your knees bent and feet flat on the ground. Place your arms by your sides, palms facing down. Engage your glutes and core, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders. Pause for a moment at the top, squeezing your glutes. Slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions.","[""Lie flat on your back with your knees bent and feet flat on the ground."", ""Place your arms by your sides, palms facing down."", ""Engage your glutes and core, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders."", ""Pause for a moment at the top, squeezing your glutes."", ""Slowly lower your hips back down to the starting position."", ""Repeat for the desired number of repetitions.""]",RESOLVED_INTEGRATED_SOURCE,REVIEW_REQUIRED,CONTENT_PRESENT_REVIEWED_ARTIFACT,APPROVED_FROM_POLICY,DOMAIN_APPROVED,True,"[""SOURCE_LICENSE_REVIEW_REQUIRED""]",RETAINED_CANONICAL,기존 canonical stable code를 재정렬하지 않고 유지한다.,EXISTING_CANONICAL,ACTIVE_CANONICAL_RETAINED,exercise-catalog-v2.0.2-final,APPROVED,False,False,[],,,,,,
