candidate_pair_id,variant_type_code,relation_status_code,review_status_code,final_decision_code,materialization_status_code,variant_source_record_id,representative_exercise_id,decision_source,decision_note_ko,source_relation_candidate,variant_exercise_id,variant_stable_code,representative_stable_code,family_code,relation_finalized,production_eligible,materialization_version,explicit_variant
ERP-20260827-00001,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000032,REX-000004,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000001,dumbbell_deadlift_hip_dominant_dumbbell,barbell_deadlift_hip_dominant_barbell,BARBELL_DEADLIFT,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00002,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000186,REX-000004,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000002,dumbbell_deadlift_hip_dominant_dumbbell_nex_000186,barbell_deadlift_hip_dominant_barbell,BARBELL_DEADLIFT,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00003,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000192,REX-000004,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000003,kettlebell_sumo_deadlift_hip_dominant_kettlebell,barbell_deadlift_hip_dominant_barbell,BARBELL_DEADLIFT,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00004,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,NOT_MATERIALIZED_REVIEW_REQUIRED,,,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,,,,,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00005,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000035,REX-000005,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000004,dumbbell_front_raise_v_2_isolation_dumbbell,barbell_front_raise_isolation_barbell,BARBELL_FRONT_RAISE,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00006,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000036,REX-000005,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000005,dumbbell_front_raise_isolation_dumbbell,barbell_front_raise_isolation_barbell,BARBELL_FRONT_RAISE,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00007,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000053,REX-000005,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000006,dumbbell_seated_alternate_front_raise_isolation_dumbbell,barbell_front_raise_isolation_barbell,BARBELL_FRONT_RAISE,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00008,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000098,REX-000005,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000007,band_front_raise_isolation_resistance_band,barbell_front_raise_isolation_barbell,BARBELL_FRONT_RAISE,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00009,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000003,REX-000006,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000008,barbell_decline_wide_grip_pullover_isolation_barbell,barbell_pullover_isolation_barbell,BARBELL_PULLOVER,false,false,v2.0.2-variant-materialization-v1.0.0,
ERP-20260827-00010,PRIMARY_VARIANT,REVIEW_REQUIRED,REVIEW_REQUIRED,VARIANT_CANDIDATE,MATERIALIZED_DRAFT_REVIEW_REQUIRED,NEX-000061,REX-000007,AUTO_RULE,대표-Variant 후보로 보관하며 canonical 병합은 하지 않는다.,true,VEX-000009,dumbbell_stiff_leg_deadlift_hip_dominant_dumbbell,barbell_straight_leg_deadlift_hip_dominant_barbell,BARBELL_STRAIGHT_LEG_DEADLIFT,false,false,v2.0.2-variant-materialization-v1.0.0,
