representative_exercise_id,source_key,source_name_en,row_status,instruction_alignment_status,training_type_decision,training_type_before,training_type_after,movement_pattern_decision,movement_pattern_before,movement_pattern_after,body_focus_decision,body_focus_before,body_focus_after,primary_body_area_decision,primary_body_area_before,primary_body_area_after,secondary_body_area_decision,secondary_body_area_before,secondary_body_area_after,difficulty_decision,difficulty_before,difficulty_after,equipment_decision,equipment_before,equipment_after,location_decision,location_before,location_after,timing_decision,timing_before,timing_after,instruction_summary_ko,form_cues_ko,review_required,review_required_codes,review_note_ko
REX-000002,gymvisual:1512,all fours squad stretch,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,MOBILITY,MOBILITY,RETAINED,MOBILITY_STRETCH,MOBILITY_STRETCH,RETAINED,MOBILITY,MOBILITY,RETAINED,"[""KNEE"",""HIP""]","[""KNEE"",""HIP""]",RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""BODYWEIGHT""]","[""BODYWEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,DURATION,DURATION,네발기기 자세에서 한쪽 다리를 뒤로 뻗고 무릎을 굽힌 채 엉덩이를 낮춰 허벅지 앞쪽을 스트레칭합니다.,"[""손은 어깨 아래, 무릎은 고관절 아래에 둔다."",""한쪽 다리를 뒤로 뻗되 무릎을 굽히고 발을 세운다."",""엉덩이를 천천히 낮춰 허벅지 앞쪽이 당기는 범위를 찾는다."",""20~30초 유지한 뒤 반대쪽도 같은 방법으로 진행한다.""]",True,"[""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""INSTRUCTION_SOURCE_REFINED_FROM_IMAGE_AND_TEXT_REVIEW"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",원천 제목의 squad는 수행법·첨부 이미지와 맞지 않는 오기로 보고 canonical을 quadruped quadriceps stretch로 정제했다. 기존 원천 표기는 source_name_en과 alias에 보존한다.
REX-000103,gymvisual:0034,barbell decline bent arm pullover,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""CHEST"",""ELBOW""]","[""CHEST"",""ELBOW""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""BARBELL""]","[""BARBELL""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,디클라인 벤치에 누워 발을 고정하고 바벨을 가슴 위에서 머리 뒤로 천천히 내렸다가 시작 위치로 돌아옵니다.,"[""머리가 엉덩이보다 낮은 디클라인 벤치에 누워 발을 고정한다."",""바벨을 손바닥이 앞을 향하도록 잡고 가슴 위에서 팔을 편다."",""팔꿈치를 약간 굽힌 채 바벨을 머리 뒤로 천천히 내린다."",""반동 없이 광배근으로 바벨을 시작 위치까지 되돌린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000104,gymvisual:0170,cable incline fly (on stability ball),CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CHEST,CHEST,RETAINED,"[""CHEST"",""SHOULDER""]","[""CHEST"",""SHOULDER""]",RETAINED,"[""ABDOMEN""]","[""ABDOMEN""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""STABILITY_BALL"",""CABLE_MACHINE""]","[""STABILITY_BALL"",""CABLE_MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,인클라인으로 고정한 짐볼에 앉아 케이블 손잡이를 양손으로 잡고 팔을 벌렸다가 통제하며 돌아옵니다.,"[""인클라인으로 고정한 짐볼에 발을 바닥에 두고 안정적으로 앉는다."",""케이블 손잡이를 손바닥이 앞을 향하도록 잡고 등을 곧게 편다."",""팔꿈치를 약간 굽힌 채 양팔을 옆으로 벌린다."",""몸통이 흔들리지 않는 범위에서 천천히 시작 위치로 돌아온다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",짐볼의 불안정성과 케이블 제어가 필요하지만 이번 catalog 난이도 범위는 BEGINNER/INTERMEDIATE이므로 INTERMEDIATE로 정제했다.
REX-000105,gymvisual:0184,cable lying extension pullover (with rope attachment),MOVED_TO_VARIANT_CANDIDATE,ALIGNED_VARIANT_CANDIDATE_REVIEW_REQUIRED,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""CHEST"",""ELBOW""]","[""CHEST"",""ELBOW""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""CABLE_MACHINE""]","[""CABLE_MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,"벤치에 누워 케이블 머신의 로프를 가슴 위로 들어 올리고, 팔꿈치를 약간 굽힌 채 로프를 머리 뒤로 천천히 내렸다가 돌아옵니다.","[""케이블 머신 상단 풀리에 로프 핸들을 연결하고 벤치에 눕는다."",""로프를 양손으로 잡아 가슴 위에서 팔을 편다."",""팔꿈치 각도를 유지하며 로프를 머리 뒤로 천천히 내린다."",""통제된 속도로 로프를 가슴 위 시작 위치로 되돌린다.""]",True,"[""EQUIPMENT_ATTACHMENT_SOURCE_CONFLICT_REVIEW_REQUIRED"",""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",바벨 풀오버와 수행법이 같은 케이블·로프·벤치 변형이다. 활성 대표운동은 REX-000006으로 유지하고 이 행은 장비·부착물 변형 후보로 이동했다.
REX-000106,gymvisual:0208,cable reverse-grip straight back seated high row,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,HORIZONTAL_PULL,HORIZONTAL_PULL,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""SHOULDER"",""ELBOW""]","[""SHOULDER"",""ELBOW""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""CABLE_MACHINE""]","[""CABLE_MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,케이블 머신에 앉아 손바닥이 위를 향하도록 손잡이를 잡고 등을 곧게 편 채 팔꿈치를 뒤로 당겼다가 천천히 돌아옵니다.,"[""케이블 머신 시트에 앉아 발바닥을 바닥에 둔다."",""손바닥이 위를 향하는 언더핸드 그립으로 손잡이를 잡는다."",""등을 곧게 유지하며 견갑골을 모아 손잡이를 몸통 쪽으로 당긴다."",""정점에서 잠시 멈춘 뒤 케이블을 천천히 놓는다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000107,gymvisual:0211,cable russian twists (on stability ball),DELETED_FROM_ACTIVE_CATALOG,DELETED_BY_USER_REQUEST,DELETED,STRENGTH,,DELETED,CORE_BRACE,,DELETED,CORE,,DELETED,"[""ABDOMEN""]",,DELETED,"[""LOWER_BACK""]",,DELETED,INTERMEDIATE,,DELETED,"[""STABILITY_BALL"",""CABLE_MACHINE""]",,DELETED,"[""GYM""]",,DELETED,DURATION,,,,False,[],원천 난이도가 ADVANCED이고 이번 catalog는 BEGINNER/INTERMEDIATE만 허용하므로 사용자 요청으로 활성 집합에서 삭제했다.
REX-000108,gymvisual:0326,dumbbell incline rear lateral raise,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,SHOULDERS,SHOULDERS,RETAINED,"[""SHOULDER""]","[""SHOULDER""]",RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,45도 인클라인 벤치에 가슴을 대고 덤벨을 양손에 든 뒤 팔을 양옆으로 들어 올렸다가 천천히 내립니다.,"[""인클라인 벤치를 45도로 조정하고 가슴을 등받이에 댄다."",""덤벨을 손바닥이 서로 마주 보게 잡고 팔을 아래로 늘어뜨린다."",""팔꿈치를 약간 굽힌 채 팔을 바닥과 평행한 높이까지 벌린다."",""정점에서 잠시 멈춘 뒤 덤벨을 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000109,gymvisual:0335,dumbbell lateral to front raise,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,SHOULDERS,SHOULDERS,RETAINED,"[""SHOULDER""]","[""SHOULDER""]",RETAINED,"[""ELBOW""]","[""ELBOW""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,"덤벨을 양손에 들고 팔을 양옆으로 들어 올렸다가 내린 다음, 같은 방식으로 몸 앞까지 들어 올립니다.","[""발을 어깨너비로 두고 덤벨을 몸 옆에서 잡는다."",""등을 곧게 세우고 팔을 양옆으로 어깨 높이까지 들어 올린다."",""팔을 천천히 내린 뒤 몸 앞쪽으로 어깨 높이까지 들어 올린다."",""각 동작에서 팔꿈치를 약간 굽히고 반동을 사용하지 않는다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",좌우 레이즈 후 전면 레이즈를 연속 수행하는 원천 동작 기준으로 INTERMEDIATE로 정제했다.
REX-000110,gymvisual:0348,dumbbell lying rear lateral raise,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,SHOULDERS,SHOULDERS,RETAINED,"[""SHOULDER""]","[""SHOULDER""]",RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,플랫 벤치에 엎드려 덤벨을 양손에 들고 팔을 양옆으로 들어 올렸다가 천천히 내립니다.,"[""플랫 벤치에 엎드려 가슴을 지지하고 덤벨을 손바닥이 서로 마주 보게 잡는다."",""팔을 바닥 쪽으로 늘어뜨리되 팔꿈치를 약간 굽힌다."",""어깨 뒤쪽을 사용해 팔을 바닥과 평행한 높이까지 벌린다."",""정점에서 멈춘 뒤 덤벨을 천천히 시작 위치로 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000111,gymvisual:0368,dumbbell over bench revers wrist curl,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,FOREARMS,FOREARMS,RETAINED,"[""WRIST_HAND""]","[""WRIST_HAND""]",RETAINED,"[""ELBOW""]","[""ELBOW""]",RETAINED,BEGINNER,BEGINNER,CORRECTED,"[""DUMBBELL"",""BENCH""]","[""DUMBBELL""]",CORRECTED,"[""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,벤치에 팔뚝을 올리고 손바닥이 아래를 향하게 덤벨을 잡은 뒤 손목을 위로 말아 올렸다가 천천히 내립니다.,"[""벤치에 앉아 팔뚝을 벤치 위에 두고 손목을 가장자리 밖으로 뺀다."",""손바닥이 아래를 향하도록 양손에 덤벨을 잡는다."",""팔뚝을 고정한 채 손목만 몸 쪽으로 천천히 굽힌다."",""정점에서 잠시 멈춘 뒤 덤벨을 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
