exercise_id,stable_code,representative_exercise_id,variant_type_code,safety_mapping_status_code,safety_mapping_source_representative_exercise_id,safety_rule_binding_status_code,fitt_mapping_status_code,fitt_mapping_source_representative_exercise_id,fitt_template_ids_by_experience,review_status_code,production_eligible,binding_source_exercise_id,binding_match_method,fitt_template_resolution_codes,materialization_version
DVAR-010E538801DE3645,one_arm_wall_lats_isolation_bodyweight__knee_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-COMPOUND-PULL-V1"", ""INTERMEDIATE"": ""FITT-COMPOUND-PULL-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000113,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-015C32CEB067E809,peroneal_stretch_mobility_stretch_stretch_strap__upper_back_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000123,NAME_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-03A7A7C6A78247A9,dumbbell_standing_curl_isolation_dumbbell__knee_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-ISOLATION-STRENGTH-V1"", ""INTERMEDIATE"": ""FITT-ISOLATION-STRENGTH-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000059,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-0423655BB84F05ED,dynamic_chest_stretch_mobility_stretch_bodyweight__lower_back_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000108,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-06892D3AE613BF99,hip_flexion_isolation_bodyweight__upper_back_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,REVIEW_REQUIRED,,"{""BEGINNER"": ""FITT-ISOLATION-STRENGTH-V1"", ""INTERMEDIATE"": ""FITT-ISOLATION-STRENGTH-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000174,BASE_EXERCISE_NEX_MATCH,"{""BEGINNER"": ""BODYWEIGHT_TEMPLATE_MOVEMENT_PATTERN_FALLBACK"", ""INTERMEDIATE"": ""BODYWEIGHT_TEMPLATE_MOVEMENT_PATTERN_FALLBACK""}",v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-0FA62ADA4EEA3182,rear_deltoid_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000075,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-1760C8AA64CEB384,runners_stretch_mobility_stretch_bodyweight__abdomen_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000136,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-18D8381ECAA601CC,dynamic_chest_stretch_mobility_stretch_bodyweight__hip_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000108,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-1A1F63F097657004,hamstring_stretch_mobility_stretch_bodyweight__wrist_hand_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000130,NAME_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
DVAR-22F9847D7E796DD5,chest_front_shoulder_stretch_mobility_stretch_bodyweight__knee_no_load_safe_v1,,,DOMAIN_APPROVED,,BOUND_INDEPENDENT_SOURCE,DOMAIN_APPROVED,,"{""BEGINNER"": ""FITT-MOBILITY-V1"", ""INTERMEDIATE"": ""FITT-MOBILITY-INTERMEDIATE-V1""}",DOMAIN_APPROVED,False,NEX-000110,BASE_EXERCISE_NEX_MATCH,{},v2.0.2-independent-bindings-source-match-v1.0.0
