representative_exercise_id,stable_code_before,field_name,old_value,new_value,change_type,decision_code,decision_status,evidence_reference,note_ko
REX-000001,abs_core_brace_core_brace_mat,name_en,누워서 배가로근 수축1,,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED,integrated_exercise_review_updated.csv:kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,name_en,all fours squad stretch,quadruped quadriceps stretch,FIELD_CORRECTION,SOURCE_NAME_EN_NORMALIZED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,display_name_ko,쿼드러펫 락백,네발기기 대퇴사두근 스트레칭,FIELD_CORRECTION,REPRESENTATIVE_IDENTITY_LABEL_REFINED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,stable_code,all_fours_squat_stretch_mobility_stretch_bodyweight,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,STABLE_CODE_MIGRATION,STABLE_CODE_IDENTITY_MIGRATION,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,setup_condition_ko,,손과 무릎을 지지할 안정적인 바닥 공간을 확보한다.,FIELD_CORRECTION,SUPPORT_CONDITION_PRESERVED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,instruction_summary_ko,네발기기 스쿼트 스트레칭 운동은 무릎·고관절 주변을 천천히 움직이며 범위를 확인하는 스트레칭입니다.,네발기기 자세에서 한쪽 다리를 뒤로 뻗고 무릎을 굽힌 채 엉덩이를 낮춰 허벅지 앞쪽을 스트레칭합니다.,FIELD_CORRECTION,SOURCE_INSTRUCTION_ALIGNMENT_REFINED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000002,all_fours_squat_stretch_mobility_stretch_bodyweight,form_cues_ko,"[""편안한 시작 자세를 잡고 주변 공간을 확인한다."",""숨을 고르게 쉬며 안내된 방향으로 천천히 움직인다."",""당김이 느껴지는 범위에서 잠시 멈춘다."",""반동 없이 시작 자세로 천천히 돌아온다.""]","[""손은 어깨 아래, 무릎은 고관절 아래에 둔다."",""한쪽 다리를 뒤로 뻗되 무릎을 굽히고 발을 세운다."",""엉덩이를 천천히 낮춰 허벅지 앞쪽이 당기는 범위를 찾는다."",""20~30초 유지한 뒤 반대쪽도 같은 방법으로 진행한다.""]",FIELD_CORRECTION,SOURCE_INSTRUCTION_ALIGNMENT_REFINED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:1512,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000006,barbell_pullover_isolation_barbell,setup_condition_ko,,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,FIELD_CORRECTION,SUPPORT_CONDITION_PRESERVED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:0073,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000008,bodyweight_back_extension_hip_dominant_bodyweight,setup_condition_ko,,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,FIELD_CORRECTION,SUPPORT_CONDITION_PRESERVED,APPLIED,integrated_exercise_review_updated.csv:gymvisual:0489,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
REX-000010,bodyweight_forward_lunge_knee_dominant_bodyweight,difficulty_code,INTERMEDIATE,BEGINNER,FIELD_CORRECTION,BASE_FORWARD_LUNGE_IS_BEGINNER,APPLIED,integrated_exercise_review_updated.csv:gymvisual:3470,원천·승인 정책과의 정합성을 맞춘 결정적 수정이며 기존 값은 migration에 보존한다.
