source_exercise_id,source_exercise_name,alternative_exercise_id,alternative_exercise_name,alternative_type,goal_code,goal_match,movement_pattern_match,source_met_value,alternative_met_value,met_difference,difficulty_difference,reason,trigger_condition,direction,confidence,evidence_basis,review_status,production_eligible
NEX-000001,barbell deadlift,NEX-000064,hyperextension,CONSTRAINT,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=BODYWEIGHT|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000004->REX-000008; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000001,barbell deadlift,NEX-000193,Dumbbell Romanian Deadlift,CONSTRAINT,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=DUMBBELL, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000004->REX-000007; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000001,barbell deadlift,NEX-000162,low glute bridge on floor,INTENSITY,POSTERIOR_CHAIN_STRENGTH,true,true,6.0,5.0,-1.0,-1,운동 목적과 movement pattern을 유지하되 난이도와 MET가 낮은 운동으로 조절한다.,초보자·수행 실패 가능성·현재 체력 부족,A_TO_B,MEDIUM,"integrated_catalog(source_pattern=HIP_DOMINANT, source_equipment=BARBELL, source_difficulty=INTERMEDIATE; alternative_pattern=HIP_DOMINANT, alternative_equipment=BODYWEIGHT, alternative_difficulty=BEGINNER); representative_taxonomy=REX-000004->REX-000011; MET_mapping=APPROVED(6.0->5.0)",APPROVED,false
NEX-000002,barbell decline bent arm pullover,NEX-000113,one arm against wall,CONSTRAINT,ISOLATION_LAT_PULL,true,true,3.5,3.0,-0.5,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=ISOLATION, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000006->REX-000046; MET_mapping=APPROVED(3.5->3.0)",APPROVED,false
NEX-000003,barbell decline wide-grip pullover,NEX-000113,one arm against wall,CONSTRAINT,ISOLATION_LAT_PULL,true,true,3.5,3.0,-0.5,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=ISOLATION, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000006->REX-000046; MET_mapping=APPROVED(3.5->3.0)",APPROVED,false
NEX-000005,barbell pullover,NEX-000113,one arm against wall,CONSTRAINT,ISOLATION_LAT_PULL,true,true,3.5,3.0,-0.5,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL|BENCH, source_difficulty=REVIEW_REQUIRED; alternative_pattern=ISOLATION, alternative_equipment=BODYWEIGHT, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000006->REX-000046; MET_mapping=APPROVED(3.5->3.0)",APPROVED,false
NEX-000006,barbell reverse wrist curl,NEX-000141,dumbbell alternate preacher curl,CONSTRAINT,ISOLATION_ELBOW_FLEXION,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000055->REX-000027; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
NEX-000006,barbell reverse wrist curl,NEX-000149,dumbbell standing zottman preacher curl,CONSTRAINT,ISOLATION_ELBOW_FLEXION,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=DUMBBELL|BENCH, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000055->REX-000027; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
NEX-000007,barbell seated calf raise,NEX-000058,dumbbell single leg calf raise,CONSTRAINT,ISOLATION_CALF_RAISE,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL|BENCH, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=DUMBBELL, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000080->REX-000016; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
NEX-000007,barbell seated calf raise,NEX-000117,band two legs calf raise - (band under both legs),CONSTRAINT,ISOLATION_CALF_RAISE,true,true,3.5,3.5,0.0,,장비 또는 장소 제약 시 동일 목표와 movement pattern을 유지하면서 장비 부담이 낮은 운동으로 전환한다.,사용 가능한 장비가 없거나 현재 장소에서 원 장비를 사용할 수 없음,A_TO_B,HIGH,"integrated_catalog(source_pattern=ISOLATION, source_equipment=BARBELL|BENCH, source_difficulty=BEGINNER; alternative_pattern=ISOLATION, alternative_equipment=RESISTANCE_BAND, alternative_difficulty=REVIEW_REQUIRED); representative_taxonomy=REX-000080->REX-000016; MET_mapping=APPROVED(3.5->3.5)",APPROVED,false
