experience_level_code,fitt_template_id,template_name,movement_pattern,training_category,prescription_unit,default_sets,min_sets,max_sets,default_reps,min_reps,max_reps,default_work_seconds,min_work_seconds,max_work_seconds,default_rest_seconds,default_transition_seconds,default_intensity,fitt_basis
BEGINNER,FITT-COMPOUND-SQUAT-V1,Compound Strength — Squat,SQUAT,COMPOUND_STRENGTH,REPS,2,2,3,10,8,12,,,,90,,MODERATE,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정."
BEGINNER,FITT-COMPOUND-HINGE-V1,Compound Strength — Hinge,HINGE,COMPOUND_STRENGTH,REPS,2,2,3,10,8,12,,,,90,,MODERATE,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정."
BEGINNER,FITT-COMPOUND-PUSH-V1,Compound Strength — Push,PUSH,COMPOUND_STRENGTH,REPS,2,2,3,10,8,12,,,,90,,MODERATE,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정."
BEGINNER,FITT-COMPOUND-PULL-V1,Compound Strength — Pull,PULL,COMPOUND_STRENGTH,REPS,2,2,3,10,8,12,,,,90,,MODERATE,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정."
BEGINNER,FITT-COMPOUND-LUNGE-V1,Compound Strength — Lunge,LUNGE,COMPOUND_STRENGTH,REPS_PER_SIDE,2,2,2,10,8,12,,,,90,,MODERATE,"운동 전공 검수 반영 기본값. 초급은 2–3세트·8–12회 범위에서 기본 2세트·10회, 중급은 2–3세트·8–12회 범위에서 기본 3세트·10회를 사용한다. 개인별 부하·진행은 Agent가 결정."
BEGINNER,FITT-ISOLATION-STRENGTH-V1,Isolation Strength,ANY,ISOLATION_STRENGTH,REPS,2,2,2,12,10,15,,,,60-90,,MODERATE,"운동 전공 검수 반영 고립 기본값. 장비가 아니라 운동 특성으로 구분하며, 초급은 2세트·10–15회에서 기본 12회, 중급은 2–3세트·10–15회에서 기본 3세트·12회를 사용한다."
BEGINNER,FITT-ISOMETRIC-STRENGTH-V1,Isometric Strength,ANY,ISOMETRIC_STRENGTH,SECONDS,2,2,2,,,,5,5,10,60,,LIGHT_MODERATE,전문가 검수 완료. 벽을 미는 등척성 광배근 활성화 운동에 5–10초 유지시간 범위를 적용한다.
BEGINNER,FITT-HINGE-POWER-V1,Hinge Power,HINGE,POWER,REPS,2,2,3,8,6,10,,,,90,,MODERATE,"전문가 검수 완료. 케틀벨 스윙은 일반 HINGE와 분리한 ballistic/power 동작이며, 빠른 concentric 수행과 보수적 반복 범위를 적용한다. 개별 부하·속도·기술은 Agent가 결정한다."
BEGINNER,FITT-CORE-DYNAMIC-V1,Core Dynamic,CORE,CORE_DYNAMIC,REPS,2,2,2,10,8,12,,,,45-60,,LIGHT_MODERATE,"운동 전공 검수 반영 코어 기본값. 동적 코어는 횟수형, 정적 코어는 시간형으로 분리하며 통증·재활 처방이 아님; 개인별 자세·진행은 Agent가 조정."
BEGINNER,FITT-CORE-DYNAMIC-PER-SIDE-V1,Core Dynamic — Per Side,CORE,CORE_DYNAMIC,REPS_PER_SIDE,2,2,2,10,8,12,,,,45-60,,LIGHT_MODERATE,"운동 전공 검수 반영 코어 기본값. 동적 코어는 횟수형, 정적 코어는 시간형으로 분리하며 통증·재활 처방이 아님; 개인별 자세·진행은 Agent가 조정."
BEGINNER,FITT-CORE-ISOMETRIC-V1,Core Isometric,CORE,CORE_ISOMETRIC,SECONDS,2,2,2,,,,25,20,30,45-60,,LIGHT_MODERATE,"운동 전공 검수 반영 코어 기본값. 동적 코어는 횟수형, 정적 코어는 시간형으로 분리하며 통증·재활 처방이 아님; 개인별 자세·진행은 Agent가 조정."
BEGINNER,FITT-MOBILITY-V1,Mobility,MOBILITY,MOBILITY,SECONDS,2,2,2,,,,15,15,30,,15-30,LIGHT,"운동 전공 검수 반영 가동성 기본값. 초급·중급 모두 2회·15–30초이며, ROM과 상태에 따라 필요시 반복 횟수나 총 시간을 조정한다. 치료 또는 재활 처방이 아님."
BEGINNER,FITT-CARDIO-V1,Cardio,CARDIO,CARDIO,SECONDS,,,,,,,1200,1200,1800,,,MODERATE,"운동 전공 검수 반영 중강도 유산소 기본값. 초급 20–30분, 중급 30–45분이며 실제 처방은 강도와 주당 총량을 함께 보고 결정한다."
