representative_id,representative_name_ko,exercise_family,variant_list,source_ids,source_count,movement_pattern,training_type,target_muscle,equipment,difficulty,beginner_suitable,selection_reason,merge_judgement,merge_basis,removable_review_required_codes,additional_review_required_codes,representative_source_id,representative_source_name,representative_review_status,review_required,review_required_codes,reviewed_family,reviewed_variant_relation,reviewed_movement_pattern,reviewed_equipment,reviewed_cardio_equipment,review_decision,review_reason_code,reviewer,reviewed_at,taxonomy_review_status,setup_condition_ko,target_muscle_status,primary_body_area_codes,secondary_body_area_codes,body_area_status,difficulty_status
REX-000001,누워서 복부 수축하기,ABS_CORE_BRACE,"[{""source_id"":""kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7"",""variant"":""BASE"",""source_name"":""누워서 배가로근 수축1""}]",kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,1,CORE_BRACE,STRENGTH,CORE,MAT,BEGINNER,CONDITIONAL,family 내 대표 1개를 선택; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,SINGLETON_FAMILY,단일 원본 레코드이며 동일 family 내 병합 대상이 없음.,,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_DOSAGE_UNSPECIFIED,kspo:9cbed9e85b778b40b4786394c774c081fcfb39e3cf13df612476c9d0bf56c9e7,누워서 배가로근 수축1,FAMILY_SELECTION_COMPLETE,true,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_DOSAGE_UNSPECIFIED,ABS_CORE_BRACE,NO_VARIANT_SINGLE_SOURCE,CORE_BRACE,equipment=MAT;requires_equipment=true;locations=HOME,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""ABDOMEN""]","[""LOWER_BACK""]",APPROVED,APPROVED
REX-000002,쿼드러펫 락백,ALL_FOURS_SQUAT_STRETCH,"[{""source_id"":""gymvisual:1512"",""variant"":""BASE"",""source_name"":""all fours squad stretch""}]",gymvisual:1512,1,MOBILITY_STRETCH,MOBILITY,MOBILITY,BODYWEIGHT,INTERMEDIATE,CONDITIONAL,family 내 대표 1개를 선택; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 최종 안전·용량·권리 검수는 별도 유지.,SINGLETON_FAMILY,단일 원본 레코드이며 동일 family 내 병합 대상이 없음.,,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_FAMILY_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|VARIANT_RELATION_REVIEW_REQUIRED,gymvisual:1512,all fours squad stretch,FAMILY_SELECTION_COMPLETE,true,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,ALL_FOURS_SQUAT_STRETCH,NO_VARIANT_SINGLE_SOURCE,MOBILITY_STRETCH,equipment=BODYWEIGHT;requires_equipment=false;locations=HOME|GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""KNEE"",""HIP""]","[""ANKLE_FOOT""]",APPROVED,APPROVED
REX-000003,발목 돌리기,ANKLE_CIRCLES,"[{""source_id"":""gymvisual:1368"",""variant"":""BASE"",""source_name"":""ankle circles""}]",gymvisual:1368,1,MOBILITY_STRETCH,MOBILITY,MOBILITY,BODYWEIGHT,BEGINNER,SUITABLE,family 내 대표 1개를 선택; 원천 설명·가이드 연결이 있음; 최종 안전·용량·권리 검수는 별도 유지.,SINGLETON_FAMILY,단일 원본 레코드이며 동일 family 내 병합 대상이 없음.,,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_FAMILY_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|VARIANT_RELATION_REVIEW_REQUIRED,gymvisual:1368,ankle circles,FAMILY_SELECTION_COMPLETE,true,ALTERNATIVE_RELATION_REVIEW_REQUIRED|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|LOAD_PROFILE_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED,ANKLE_CIRCLES,NO_VARIANT_SINGLE_SOURCE,MOBILITY_STRETCH,equipment=BODYWEIGHT;requires_equipment=false;locations=HOME|GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""ANKLE_FOOT""]","[""KNEE""]",APPROVED,APPROVED
REX-000004,데드리프트,BARBELL_DEADLIFT,"[{""source_id"":""gymvisual:0032"",""variant"":""BASE"",""source_name"":""barbell deadlift""},{""source_id"":""gymvisual:0300"",""variant"":""DUMBBELL"",""source_name"":""dumbbell deadlift""},{""source_id"":""wger:1370"",""variant"":""DUMBBELL"",""source_name"":""Dumbbell Deadlift""},{""source_id"":""wger:1612"",""variant"":""KETTLEBELL|SUMO"",""source_name"":""kettlebell sumo deadlift""}]",gymvisual:0032|gymvisual:0300|wger:1370|wger:1612,4,HIP_DOMINANT,STRENGTH,GLUTES,BARBELL,INTERMEDIATE,NOT_PRIORITY,family 내 대표 1개를 선택; 표준 운동명이 명확함; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(HIP_DOMINANT)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|HUMAN_TAXONOMY_REVIEW_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW|SOURCE_LICENSE_REVIEW_REQUIRED,gymvisual:0032,barbell deadlift,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,BARBELL_DEADLIFT,KEEP_VARIANTS:4,HIP_DOMINANT,equipment=BARBELL;requires_equipment=true;locations=GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",APPROVED,APPROVED
REX-000005,프론트 레이즈,BARBELL_FRONT_RAISE,"[{""source_id"":""gymvisual:0041"",""variant"":""BASE"",""source_name"":""barbell front raise""},{""source_id"":""gymvisual:0309"",""variant"":""DUMBBELL|SOURCE_VERSION_2"",""source_name"":""dumbbell front raise v. 2""},{""source_id"":""gymvisual:0310"",""variant"":""DUMBBELL"",""source_name"":""dumbbell front raise""},{""source_id"":""gymvisual:0335"",""variant"":""DUMBBELL"",""source_name"":""dumbbell lateral to front raise""},{""source_id"":""gymvisual:0387"",""variant"":""DUMBBELL|SEATED|ALTERNATING"",""source_name"":""dumbbell seated alternate front raise""},{""source_id"":""gymvisual:0978"",""variant"":""BAND"",""source_name"":""band front raise""}]",gymvisual:0041|gymvisual:0309|gymvisual:0310|gymvisual:0335|gymvisual:0387|gymvisual:0978,6,ISOLATION,STRENGTH,SHOULDERS,BARBELL,BEGINNER,CONDITIONAL,family 내 대표 1개를 선택; 표준 운동명이 명확함; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(ISOLATION)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|HUMAN_TAXONOMY_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW,gymvisual:0041,barbell front raise,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,BARBELL_FRONT_RAISE,KEEP_VARIANTS:6,ISOLATION,equipment=BARBELL;requires_equipment=true;locations=GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""SHOULDER""]","[""ELBOW""]",APPROVED,APPROVED
REX-000006,풀오버,BARBELL_PULLOVER,"[{""source_id"":""gymvisual:0034"",""variant"":""DECLINE"",""source_name"":""barbell decline bent arm pullover""},{""source_id"":""gymvisual:0037"",""variant"":""DECLINE|WIDE_GRIP"",""source_name"":""barbell decline wide-grip pullover""},{""source_id"":""gymvisual:0073"",""variant"":""BASE"",""source_name"":""barbell pullover""},{""source_id"":""gymvisual:0184"",""variant"":""CABLE|LYING"",""source_name"":""cable lying extension pullover (with rope attachment)""},{""source_id"":""gymvisual:2285"",""variant"":""MACHINE"",""source_name"":""lever pullover""},{""source_id"":""gymvisual:3010"",""variant"":""BARBELL|EZ_BAR|LYING"",""source_name"":""ez bar lying bent arms pullover""}]",gymvisual:0034|gymvisual:0037|gymvisual:0073|gymvisual:0184|gymvisual:2285|gymvisual:3010,6,ISOLATION,STRENGTH,BACK,BARBELL,INTERMEDIATE,CONDITIONAL,family 내 대표 1개를 선택; 표준 운동명이 명확함; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(ISOLATION)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|HUMAN_TAXONOMY_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW,gymvisual:0073,barbell pullover,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,BARBELL_PULLOVER,KEEP_VARIANTS:6,ISOLATION,equipment=BARBELL;requires_equipment=true;locations=GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,APPROVED,"[""UPPER_BACK""]","[""CHEST"",""ELBOW""]",APPROVED,APPROVED
REX-000007,루마니안 데드리프트,BARBELL_STRAIGHT_LEG_DEADLIFT,"[{""source_id"":""gymvisual:0116"",""variant"":""BASE"",""source_name"":""barbell straight leg deadlift""},{""source_id"":""gymvisual:0432"",""variant"":""DUMBBELL|STIFF_LEG"",""source_name"":""dumbbell stiff leg deadlift""},{""source_id"":""gymvisual:0434"",""variant"":""DUMBBELL|STRAIGHT_LEG"",""source_name"":""dumbbell straight leg deadlift""},{""source_id"":""gymvisual:1009"",""variant"":""BAND|STIFF_LEG"",""source_name"":""band stiff leg deadlift""},{""source_id"":""gymvisual:1023"",""variant"":""BAND|STIFF_LEG"",""source_name"":""band straight back stiff leg deadlift""},{""source_id"":""wger:1652"",""variant"":""DUMBBELL|ROMANIAN"",""source_name"":""Dumbbell Romanian Deadlift""},{""source_id"":""wger:507"",""variant"":""ROMANIAN"",""source_name"":""Romanian Deadlift""}]",gymvisual:0116|gymvisual:0432|gymvisual:0434|gymvisual:1009|gymvisual:1023|wger:1652|wger:507,7,HIP_DOMINANT,STRENGTH,HAMSTRINGS,BARBELL,INTERMEDIATE,CONDITIONAL,family 내 대표 1개를 선택; 표준 운동명이 명확함; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(HIP_DOMINANT)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|HUMAN_TAXONOMY_REVIEW_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW|SOURCE_LICENSE_REVIEW_REQUIRED,gymvisual:0116,barbell straight leg deadlift,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW|BEGINNER_SUITABILITY_REVIEW_REQUIRED|DOMAIN_SAFETY_REVIEW_REQUIRED|EXECUTION_DOSAGE_REVIEW_REQUIRED|EXERCISE_TAXONOMY_MAPPING_REQUIRED|INSTRUCTION_CONTENT_REVIEW_REQUIRED|KOREAN_LOCALIZATION_REVIEW_REQUIRED|MEDIA_RIGHTS_REVIEW_REQUIRED|SOURCE_LICENSE_REVIEW_REQUIRED,BARBELL_STRAIGHT_LEG_DEADLIFT,KEEP_VARIANTS:7,HIP_DOMINANT,equipment=BARBELL;requires_equipment=true;locations=GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""HIP""]","[""KNEE"",""LOWER_BACK""]",APPROVED,APPROVED
REX-000008,백 익스텐션,BODYWEIGHT_BACK_EXTENSION,"[{""source_id"":""gymvisual:0489"",""variant"":""BASE"",""source_name"":""hyperextension""}]",gymvisual:0489,1,HIP_DOMINANT,STRENGTH,BACK,BODYWEIGHT,INTERMEDIATE,CONDITIONAL,family 내 대표 1개를 선택; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,SINGLETON_FAMILY,단일 원본 레코드이며 동일 family 내 병합 대상이 없음.,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|MOVEMENT_PATTERN_REVIEW,gymvisual:0489,hyperextension,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,BODYWEIGHT_BACK_EXTENSION,NO_VARIANT_SINGLE_SOURCE,HIP_DOMINANT,equipment=BODYWEIGHT;requires_equipment=true;locations=HOME|GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,안정적인 지지물(벤치 또는 의자 등)을 준비한다.,APPROVED,"[""LOWER_BACK""]","[""HIP"",""UPPER_BACK""]",APPROVED,APPROVED
REX-000009,크런치,BODYWEIGHT_CRUNCH,"[{""source_id"":""gymvisual:0274"",""variant"":""BASE"",""source_name"":""crunch floor""},{""source_id"":""gymvisual:0277"",""variant"":""DECLINE"",""source_name"":""decline crunch""}]",gymvisual:0274|gymvisual:0277,2,CORE_BRACE,STRENGTH,CORE,BODYWEIGHT,BEGINNER,SUITABLE,family 내 대표 1개를 선택; 표준 운동명이 명확함; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(CORE_BRACE)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|HUMAN_TAXONOMY_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW,gymvisual:0274,crunch floor,FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,BODYWEIGHT_CRUNCH,KEEP_VARIANTS:2,CORE_BRACE,equipment=BODYWEIGHT;requires_equipment=false;locations=HOME|GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""ABDOMEN""]","[""LOWER_BACK""]",APPROVED,APPROVED
REX-000010,포워드 런지,BODYWEIGHT_FORWARD_LUNGE,"[{""source_id"":""gymvisual:0336"",""variant"":""DUMBBELL"",""source_name"":""dumbbell lunge""},{""source_id"":""gymvisual:0381"",""variant"":""DUMBBELL|REAR"",""source_name"":""dumbbell rear lunge""},{""source_id"":""gymvisual:0536"",""variant"":""KETTLEBELL"",""source_name"":""kettlebell lunge pass through""},{""source_id"":""gymvisual:1460"",""variant"":""WALKING"",""source_name"":""walking lunge""},{""source_id"":""gymvisual:3470"",""variant"":""BASE"",""source_name"":""forward lunge (male)""},{""source_id"":""gymvisual:3635"",""variant"":""DUMBBELL|CONTRALATERAL|FORWARD"",""source_name"":""dumbbell contralateral forward lunge""}]",gymvisual:0336|gymvisual:0381|gymvisual:0536|gymvisual:1460|gymvisual:3470|gymvisual:3635,6,KNEE_DOMINANT,STRENGTH,GLUTES,BODYWEIGHT,INTERMEDIATE,CONDITIONAL,family 내 대표 1개를 선택; family 핵심 동작명을 포함함; 초보자 접근성 후보값이 있음; 원천 설명·가이드 연결이 있음; 기존 선정 후보가 RECOMMENDED임; 최종 안전·용량·권리 검수는 별도 유지.,MERGE_TO_FAMILY_KEEP_VARIANTS,"동일 목적과 수행 패턴(KNEE_DOMINANT)을 공유하는 후보를 family로 묶고, 장비·자세·그립·편측성·난이도 차이는 variant로 보존했다. 타겟 근육만 같은 후보는 이 family 근거로 사용하지 않았다.",EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW,BEGINNER_SUITABILITY_REVIEW|EQUIPMENT_TAXONOMY_CANDIDATE_REVIEW|HUMAN_TAXONOMY_REVIEW_REQUIRED|MOVEMENT_PATTERN_REVIEW,gymvisual:3470,forward lunge (male),FAMILY_SELECTION_COMPLETE,true,EXERCISE_FAMILY_BOUNDARY_REVIEW|HUMAN_REPRESENTATIVE_SELECTION_REVIEW|BEGINNER_SUITABILITY_REVIEW,BODYWEIGHT_FORWARD_LUNGE,KEEP_VARIANTS:6,KNEE_DOMINANT,equipment=BODYWEIGHT;requires_equipment=false;locations=HOME|GYM,NOT_APPLICABLE,APPROVED,DOMAIN_EXPERT_TAXONOMY_APPROVAL_2026_08_21,DOMAIN_EXPERT_REVIEW,2026-08-21T00:00:00+09:00,TAXONOMY_APPROVED,,APPROVED,"[""HIP"",""KNEE""]","[""ANKLE_FOOT""]",APPROVED,APPROVED
