map_relation_id,pain_discomfort_area_code,condition_code,pain_score_min,pain_score_max,severity_code,service_action_code,target_strategy_code,source_exercise_stable_code,source_exercise_id,source_record_type,source_exercise_name_ko,source_primary_movement_pattern_code,source_primary_body_area_codes,source_secondary_body_area_codes,source_difficulty_code,source_training_type_code,target_exercise_stable_code,target_exercise_id,target_record_type,target_exercise_name_ko,target_primary_movement_pattern_code,target_primary_body_area_codes,target_secondary_body_area_codes,target_difficulty_code,target_training_type_code,source_load_to_avoid_code,source_load_to_avoid_roles,target_area_exclusion_check_code,target_pain_area_overlap,target_difficulty_not_higher,target_recovery_eligible,selection_rank,selection_score,selection_basis_codes,direction_code,evidence_source,evidence_reviewer,evidence_reviewed_at,review_status_code,production_eligible,target_equipment_codes,target_location_codes,target_body_focus_code,target_timing_mode_code,target_default_dosage_present,review_decision,review_stage_code,review_reason_code,review_reason_ko,movement_load_impact_check_code,nrs_recovery_check_code,context_equipment_check_code
ALT-MAP-128a571c3d7187d5,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_single_leg_calf_raise_isolation_resistance_band,VEX-000027,VARIANT,밴드 싱글 레그 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",INTERMEDIATE,STRENGTH,one_arm_wall_lats_isolation_bodyweight,REX-000046,REPRESENTATIVE,벽 짚고 한 팔 광배근 스트레칭,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,2,88,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""LOWER_DIFFICULTY"",""BODYWEIGHT_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",BACK,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-a6fc54f6955fb7f4,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_single_leg_calf_raise_isolation_resistance_band,VEX-000027,VARIANT,밴드 싱글 레그 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",INTERMEDIATE,STRENGTH,barbell_front_raise_isolation_barbell,REX-000005,REPRESENTATIVE,프론트 레이즈,ISOLATION,"[""SHOULDER""]","[""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,3,83,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""LOWER_DIFFICULTY"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BARBELL""]","[""GYM""]",SHOULDERS,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-a013970c85ed072d,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_single_leg_calf_raise_isolation_resistance_band,VEX-000027,VARIANT,밴드 싱글 레그 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",INTERMEDIATE,STRENGTH,dumbbell_shrug_isolation_dumbbell,REX-000029,REPRESENTATIVE,슈러그,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,7,83,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""LOWER_DIFFICULTY"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""DUMBBELL""]","[""HOME"",""GYM""]",BACK,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-fad2111c3b4ca554,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_single_leg_calf_raise_isolation_resistance_band,VEX-000027,VARIANT,밴드 싱글 레그 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",INTERMEDIATE,STRENGTH,dumbbell_standing_curl_isolation_dumbbell,REX-000030,REPRESENTATIVE,덤벨 바이셉스 컬,ISOLATION,"[""ELBOW""]","[""WRIST_HAND""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,8,83,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""LOWER_DIFFICULTY"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""DUMBBELL""]","[""HOME"",""GYM""]",BICEPS,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-689a804d7f8e1be7,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,REX-000124,SEPARATE_EXERCISE,밴드 양발 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,one_arm_wall_lats_isolation_bodyweight,REX-000046,REPRESENTATIVE,벽 짚고 한 팔 광배근 스트레칭,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,1,73,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""BODYWEIGHT_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",BACK,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-ab8ed9be77321f47,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,REX-000124,SEPARATE_EXERCISE,밴드 양발 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,barbell_front_raise_isolation_barbell,REX-000005,REPRESENTATIVE,프론트 레이즈,ISOLATION,"[""SHOULDER""]","[""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,2,68,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BARBELL""]","[""GYM""]",SHOULDERS,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-d5a75ec1df7f48bb,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,REX-000124,SEPARATE_EXERCISE,밴드 양발 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,dumbbell_shrug_isolation_dumbbell,REX-000029,REPRESENTATIVE,슈러그,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,6,68,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""DUMBBELL""]","[""HOME"",""GYM""]",BACK,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-4b6f7fd758889c32,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,REX-000124,SEPARATE_EXERCISE,밴드 양발 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,dumbbell_standing_curl_isolation_dumbbell,REX-000030,REPRESENTATIVE,덤벨 바이셉스 컬,ISOLATION,"[""ELBOW""]","[""WRIST_HAND""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,7,68,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""DUMBBELL""]","[""HOME"",""GYM""]",BICEPS,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-e3831b9cf66ed082,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,dumbbell_seated_calf_raise_isolation_dumbbell,VEX-000055,VARIANT,덤벨 시티드 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,one_arm_wall_lats_isolation_bodyweight,REX-000046,REPRESENTATIVE,벽 짚고 한 팔 광배근 스트레칭,ISOLATION,"[""UPPER_BACK""]","[""SHOULDER"",""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,1,73,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""BODYWEIGHT_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BODYWEIGHT""]","[""HOME"",""GYM""]",BACK,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
ALT-MAP-fc789f859559782a,ANKLE_FOOT,NRS_1_3,1,3,MILD,LOAD_REDUCED,AREA_AVOIDING_CROSS_TRAINING_WITH_REDUCED_LOAD,dumbbell_seated_calf_raise_isolation_dumbbell,VEX-000055,VARIANT,덤벨 시티드 카프 레이즈,ISOLATION,"[""ANKLE_FOOT""]","[""KNEE""]",BEGINNER,STRENGTH,barbell_front_raise_isolation_barbell,REX-000005,REPRESENTATIVE,프론트 레이즈,ISOLATION,"[""SHOULDER""]","[""ELBOW""]",BEGINNER,STRENGTH,PAIN_AREA_IN_SOURCE_PRIMARY_OR_SECONDARY_TARGET,"[""PRIMARY""]",TARGET_PRIMARY_AND_SECONDARY_EXCLUDE_PAIN_AREA,false,true,false,2,68,"[""SAME_TRAINING_TYPE"",""SAME_MOVEMENT_PATTERN"",""CROSS_BODY_AREA_TARGET"",""REPRESENTATIVE_TARGET""]",A_TO_B,data/generated/exercise-catalog-v2.0.2-final/catalog/exercises.jsonl,DATA_REVIEW_PIPELINE,2026-08-28T00:00:00+09:00,DOMAIN_APPROVED,false,"[""BARBELL""]","[""GYM""]",SHOULDERS,REPS,true,REMOVE,CATALOG_REFERENCE_ELIGIBILITY,CATALOG_REFERENCE_NOT_ELIGIBLE,catalog record type·review 상태·self-reference 조건을 충족하지 않는다.,PASS,PASS,PASS
