body_focus_code,default_rest_seconds,default_seconds_per_rep,default_transition_seconds,default_work_seconds,difficulty_code,equipment_codes,family_code,form_cues_ko,form_cues_review_status,form_cues_source,general_pool_included,instruction_content_version,instruction_summary_ko,location_codes,name_en,name_ko,primary_body_area_codes,primary_movement_pattern_code,record_type,recovery_eligible,representative_stable_code,review_status_code,secondary_body_area_codes,safety_relevant_body_area_codes,source_identity,source_track,stable_code,timing_mode_code,training_type_code,met_value,met_source_code,met_source_activity_code,met_mapping_method_code,met_review_status_code,met_policy_version
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,ANKLE_CIRCLES,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 서서 한쪽 다리를 바닥에서 가볍게 듭니다 2. 든 발의 발목을 원을 그리며 돌립니다 3. 반대쪽도 같은 순서로 수행합니다,GYM|HOME,ankle circles,발목 돌리기,ankle stabilizers,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,KNEE|ANKLE_FOOT,1368,gymvisual,ankle_circles_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CALVES,60,4,15,,BEGINNER,RESISTANCE_BAND,CALF_RAISE_STANDING,무릎을 잠그지 말고 발끝과 무릎의 방향을 맞춥니다|반동으로 올라가지 말고 뒤꿈치를 천천히 내립니다,APPROVED,data/videos/1369-jl6uxZV.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 양발로 밴드를 밟고 서서 양끝을 손에 잡습니다 2. 뒤꿈치를 들어 발 앞부분으로 올라갔다가 천천히 뒤꿈치를 바닥으로 내립니다,GYM|HOME,band two legs calf raise - (band under both legs),밴드 카프레이즈,ankles,ISOLATION,VARIANT,False,bodyweight_standing_calf_raise_isolation_bodyweight,DOMAIN_APPROVED,feet,HIP|KNEE|ANKLE_FOOT,1369,gymvisual,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
GLUTES,90,4,15,,INTERMEDIATE,BARBELL,DEADLIFT,허리를 둥글게 말지 말고 배 주변에 가볍게 힘을 줍니다|발바닥 전체로 바닥을 누르며 엉덩이 움직임을 만듭니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨넓이로 벌리고 서서 바벨을 몸 앞 바닥에 놓습니다 2. 등을 곧게 유지하고 가슴을 펴면서 발 뒤꿈치로 힘을 주어 바벨을 들어올리고 허리와 무릎을 펼칩니다 3. 서서 일어나면서 둔근을 조이고 복부에 힘을 줍니다,GYM,barbell deadlift,바벨 데드리프트,hamstrings,HIP_DOMINANT,VARIANT,False,dumbbell_deadlift,DOMAIN_APPROVED,lower back,WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE|CHEST|ABDOMEN,0032,gymvisual,barbell_deadlift_hip_dominant_barbell,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
SHOULDERS,60,4,15,,BEGINNER,BARBELL,FRONT_RAISE,허리를 과하게 젖히지 말고 배 주변에 가볍게 힘을 줍니다|팔을 던지듯 움직이지 말고 천천히 올리고 내립니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨넓이로 벌리고 섭니다 2. 팔을 곧게 펼친 상태를 유지하면서 바벨을 앞으로 위쪽으로 들어올려 어깨 높이에 도달하게 합니다,GYM,barbell front raise,바벨 프론트 레이즈,biceps,ISOLATION,VARIANT,False,dumbbell_lateral_to_front_raise_isolation_dumbbell,DOMAIN_APPROVED,triceps,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK,0041,gymvisual,barbell_front_raise_isolation_barbell,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
HAMSTRINGS,90,4,15,,INTERMEDIATE,BARBELL,BARBELL_STRAIGHT_LEG_DEADLIFT,허리를 둥글게 말지 말고 배 주변에 가볍게 힘을 줍니다|발바닥 전체로 바닥을 누르며 엉덩이 움직임을 만듭니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨 너비로 벌리고 발가락을 앞으로 향하게 섭니다 2. 골반에서 몸을 굽히면서 바벨을 지면으로 내립니다 3. 종아리와 엉덩이를 사용하여 바벨을 들어올려 시작 자세로 돌아옵니다,GYM,barbell straight leg deadlift,바벨 루마니안 데드리프트,glutes,HIP_DOMINANT,REPRESENTATIVE,False,,DOMAIN_APPROVED,lower back,WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE,0116,gymvisual,barbell_straight_leg_deadlift_hip_dominant_barbell,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,60,4,15,,BEGINNER,BODYWEIGHT,BODYWEIGHT_BACK_EXTENSION,목과 허리를 과하게 꺾지 말고 편안한 자세를 유지합니다|반동을 쓰지 말고 천천히 움직입니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 하이퍼익스텐션 벤치를 조정하여 허벅지 위쪽이 패드에 걸쳐지고 발이 고정되도록 합니다 2. 아래에서 잠시 멈춘 후 상체를 들어 올려 다리와 일직선이 되도록 합니다,GYM,hyperextension,백 익스텐션,glutes,HIP_DOMINANT,REPRESENTATIVE,False,,DOMAIN_APPROVED,hamstrings,UPPER_BACK|LOWER_BACK|HIP|KNEE|CHEST,0489,gymvisual,bodyweight_back_extension_hip_dominant_bodyweight,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CORE,60,4,15,,BEGINNER,BODYWEIGHT,CRUNCH,목을 손으로 당기지 말고 시선은 편안히 위쪽에 둡니다|허리가 과하게 뜨거나 처지지 않게 배 주변에 힘을 줍니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 등을 바닥에 대고 누워 무릎을 굽혀 발을 바닥에 둡니다 2. 배 주변에 힘을 주고 어깨를 들어 무릎 쪽으로 상체를 굽힙니다 3. 천천히 시작 자세로 돌아옵니다,GYM|HOME,crunch floor,크런치,hip flexors,CORE_BRACE,REPRESENTATIVE,False,,DOMAIN_APPROVED,,SHOULDER|ELBOW|UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|ABDOMEN,0274,gymvisual,bodyweight_crunch_core_brace_bodyweight,REPS,STRENGTH,2.8,ADULT_COMPENDIUM_PDF_2024,02024,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
GLUTES,60,4,15,,BEGINNER,BODYWEIGHT,LUNGE,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 엉덩이 너비로 벌리고 손을 허리에 얹습니다 2. 오른쪽 발로 크게 한 발 앞으로 나아가 런지 자세로 몸을 내립니다 3. 오른쪽 발을 밀어 시작 자세로 돌아갑니다 4. 반대쪽도 같은 순서로 수행합니다,GYM|HOME,forward lunge (male),포워드 런지,quadriceps,KNEE_DOMINANT,VARIANT,False,smith_sprint_lunge,DOMAIN_APPROVED,hamstrings|calves,LOWER_BACK|HIP|KNEE|ANKLE_FOOT,3470,gymvisual,bodyweight_forward_lunge_knee_dominant_bodyweight,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
GLUTES,60,4,15,,BEGINNER,BODYWEIGHT,GLUTE_BRIDGE,허리를 둥글게 말지 말고 배 주변에 가볍게 힘을 줍니다|발바닥 전체로 바닥을 누르며 엉덩이 움직임을 만듭니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 등을 바닥에 대고 누워 무릎을 구부리고 발은 땅에 평평하게 놓습니다 2. 엉덩이와 코어에 힘을 주고 골반을 땅에서 들어올려 무릎부터 어깨까지 몸이 일직선을 이루도록 합니다 3. 천천히 골반을 시작 자세로 내립니다,GYM|HOME,low glute bridge on floor,글루트 브리지,hamstrings,HIP_DOMINANT,REPRESENTATIVE,False,,DOMAIN_APPROVED,core,SHOULDER|WRIST_HAND|UPPER_BACK|HIP|KNEE|ABDOMEN,3013,gymvisual,bodyweight_glute_bridge_hip_dominant_bodyweight,REPS,STRENGTH,2.8,ADULT_COMPENDIUM_PDF_2024,02024,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BICEPS,90,4,15,,INTERMEDIATE,BODYWEIGHT|PULL_UP_BAR,PULL_UP,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 풀업 봉에서 손바닥이 자신을 향하도록 매달리되 손은 어깨 너비로 벌립니다 2. 코어에 힘을 주고 팔꿈치를 구부려 가슴을 봉 쪽으로 당깁니다 3. 동작의 가장 높은 지점에서 멈춘 후 천천히 시작 자세로 내려갑니다 4. 어렵다면 어시스트 풀업 머신이나 밴드를 사용해 같은 동작으로 수행합니다,GYM,biceps pull-up,풀업,forearms,VERTICAL_PULL,VARIANT,False,assisted_pull_up,DOMAIN_APPROVED,shoulders,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|ABDOMEN,0140,gymvisual,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
