exercise_id,representative_id,existing_status,final_status,existing_production_eligible,final_production_eligible,reviewer,reviewed_at,decision_basis,evidence_reference
NEX-000001,REX-000004,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000002,REX-000006,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000003,REX-000006,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000004,REX-000005,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000005,REX-000006,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000006,REX-000055,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000007,REX-000080,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000008,REX-000047,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000009,REX-000007,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000010,REX-000102,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
NEX-000011,REX-000012,APPROVED,DOMAIN_APPROVED,false,true,DATA_OWNER_APPROVAL,2026-08-24T00:00:00+09:00,USER_ATTESTED_DOMAIN_REVIEW; all 102 MET mappings reviewed by the data owner; existing values retain their row-level Compendium evidence and NEX-000173 uses the explicitly approved 02150 static-balance proxy,https://pacompendium.com/adult-compendium/
