source_identity,stable_code,previous_body_focus_code,new_body_focus_code,change_type
1368,ankle_circles_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1369,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band,CALVES,CALVES,UNCHANGED
0032,barbell_deadlift_hip_dominant_barbell,GLUTES,GLUTES,UNCHANGED
0041,barbell_front_raise_isolation_barbell,SHOULDERS,SHOULDERS,UNCHANGED
0116,barbell_straight_leg_deadlift_hip_dominant_barbell,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0489,bodyweight_back_extension_hip_dominant_bodyweight,BACK,BACK,UNCHANGED
0274,bodyweight_crunch_core_brace_bodyweight,CORE,CORE,UNCHANGED
3470,bodyweight_forward_lunge_knee_dominant_bodyweight,GLUTES,GLUTES,UNCHANGED
3013,bodyweight_glute_bridge_hip_dominant_bodyweight,GLUTES,GLUTES,UNCHANGED
0140,bodyweight_pull_up_biceps_vertical_pull_bodyweight_pull_up_bar,BICEPS,BICEPS,UNCHANGED
0872,bodyweight_reverse_crunch_core_brace_bodyweight,CORE,CORE,UNCHANGED
2368,bodyweight_split_squat_knee_dominant_bodyweight,QUADRICEPS,QUADRICEPS,UNCHANGED
1373,bodyweight_standing_calf_raise_isolation_bodyweight,CALVES,CALVES,UNCHANGED
1494,butterfly_adductor_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0201,cable_triceps_pushdown_isolation_cable_machine,TRICEPS,TRICEPS,UNCHANGED
3672,cardio_gait_bodyweight,CARDIO,CARDIO,UNCHANGED
3636,cardio_gait_bodyweight_rex_000058,CARDIO,CARDIO,UNCHANGED
3666,cardio_gait_machine,CARDIO,CARDIO,UNCHANGED
2311,cardio_gait_machine_rex_000071,CARDIO,CARDIO,UNCHANGED
3224,cardio_jump_plyometric_bodyweight,CARDIO,CARDIO,UNCHANGED
1548,chair_leg_extended_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1271,chest_front_shoulder_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0259,close_grip_push_up_horizontal_push_bodyweight,TRICEPS,TRICEPS,UNCHANGED
1760,dumbbell_goblet_squat_knee_dominant_dumbbell,QUADRICEPS,QUADRICEPS,UNCHANGED
0334,dumbbell_lateral_raise_isolation_dumbbell,SHOULDERS,SHOULDERS,UNCHANGED
0335,dumbbell_lateral_to_front_raise_isolation_dumbbell,SHOULDERS,SHOULDERS,UNCHANGED
0372,dumbbell_preacher_curl_isolation_dumbbell,BICEPS,BICEPS,UNCHANGED
0378,dumbbell_rear_fly_isolation_dumbbell,SHOULDERS,SHOULDERS,UNCHANGED
0406,dumbbell_shrug_isolation_dumbbell,BACK,BACK,UNCHANGED
0416,dumbbell_standing_curl_isolation_dumbbell,BICEPS,BICEPS,UNCHANGED
2796,dumbbell_step_up_lunge_knee_dominant_dumbbell_step_box,QUADRICEPS,QUADRICEPS,UNCHANGED
1167,dynamic_chest_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1559,exercise_ball_hip_flexor_stretch_mobility_stretch_stability_ball,MOBILITY,MOBILITY,UNCHANGED
1511,hamstring_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0854,hand_grip_squeeze_isolation_household_weight,FOREARMS,FOREARMS,UNCHANGED
0499,inverted_row_horizontal_pull_bodyweight,BACK,BACK,UNCHANGED
1346,kneeling_lat_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0198,lat_pulldown_vertical_pull_cable_machine,BACK,BACK,UNCHANGED
1352,lower_back_curl_core_brace_bodyweight,BACK,BACK,UNCHANGED
1403,neck_lateral_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1355,one_arm_wall_lats_isolation_bodyweight,BACK,BACK,UNCHANGED
1386,one_leg_donkey_calf_raise_isolation_bodyweight,CALVES,CALVES,UNCHANGED
0109,overhead_triceps_extension_isolation_barbell,TRICEPS,TRICEPS,UNCHANGED
0643,overhead_triceps_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0662,push_up_horizontal_push_bodyweight,CHEST,CHEST,UNCHANGED
1512,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0669,rear_deltoid_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1000,reverse_calf_raise_isolation_resistance_band,CALVES,CALVES,UNCHANGED
0082,reverse_wrist_curl_isolation_barbell,FOREARMS,FOREARMS,UNCHANGED
2208,roller_back_stretch,MOBILITY,MOBILITY,UNCHANGED
2202,roller_hip_stretch,MOBILITY,MOBILITY,UNCHANGED
1585,runners_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0688,scapular_pull_up_vertical_pull_bodyweight_pull_up_bar,BACK,BACK,UNCHANGED
0861,seated_cable_row_horizontal_pull_cable_machine,BACK,BACK,UNCHANGED
0088,seated_calf_raise_isolation_barbell,CALVES,CALVES,UNCHANGED
1390,seated_calf_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1424,seated_glute_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0599,seated_leg_curl_knee_flexion_machine,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0690,seated_lower_back_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
2567,seated_piriformis_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0405,seated_shoulder_press_vertical_push_dumbbell,SHOULDERS,SHOULDERS,UNCHANGED
1587,seated_wide_angle_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0613,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0721,side_wrist_pull_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0763,smith_reverse_calf_raises_isolation_machine,CALVES,CALVES,UNCHANGED
1363,spine_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0794,standing_lateral_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0817,triceps_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1365,upper_back_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1377,wall_calf_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1604,world_greatest_stretch_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
1428,wrist_circles_mobility_stretch_bodyweight,MOBILITY,MOBILITY,UNCHANGED
0126,wrist_curl_isolation_barbell,FOREARMS,FOREARMS,UNCHANGED
0002,45_degree_side_bend,CORE,CORE,UNCHANGED
0006,alternate_heel_touchers,CORE,CORE,UNCHANGED
0007,alternate_lateral_pulldown,BACK,BACK,UNCHANGED
0017,assisted_pull_up,BACK,BACK,UNCHANGED
0019,assisted_triceps_dip_kneeling,TRICEPS,TRICEPS,UNCHANGED
0020,balance_board,QUADRICEPS,QUADRICEPS,UNCHANGED
0022,barbell_pullover_to_press,BACK,BACK,UNCHANGED
0026,barbell_bench_squat,QUADRICEPS,QUADRICEPS,UNCHANGED
0027,barbell_bent_over_row,BACK,BACK,UNCHANGED
0031,barbell_curl,BICEPS,BICEPS,UNCHANGED
0034,barbell_decline_bent_arm_pullover,BACK,BACK,UNCHANGED
0035,barbell_decline_close_grip_to_skull_press,TRICEPS,TRICEPS,UNCHANGED
0043,barbell_full_squat,GLUTES,GLUTES,UNCHANGED
0044,barbell_good_morning,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0047,barbell_incline_bench_press,CHEST,CHEST,UNCHANGED
0049,barbell_incline_row,BACK,BACK,UNCHANGED
0053,barbell_jump_squat,GLUTES,GLUTES,UNCHANGED
0054,barbell_lunge,GLUTES,GLUTES,UNCHANGED
0056,barbell_lying_close_grip_triceps_extension,TRICEPS,TRICEPS,UNCHANGED
0058,barbell_lying_lifting_on_hip,GLUTES,GLUTES,UNCHANGED
0059,barbell_lying_preacher_curl,BICEPS,BICEPS,UNCHANGED
0063,barbell_narrow_stance_squat,GLUTES,GLUTES,UNCHANGED
0069,barbell_overhead_squat,QUADRICEPS,QUADRICEPS,UNCHANGED
0070,barbell_preacher_curl,BICEPS,BICEPS,UNCHANGED
0074,barbell_rack_pull,GLUTES,GLUTES,UNCHANGED
0076,barbell_rear_delt_row,SHOULDERS,SHOULDERS,UNCHANGED
0085,barbell_romanian_deadlift,GLUTES,GLUTES,UNCHANGED
0090,barbell_seated_good_morning,GLUTES,GLUTES,UNCHANGED
0091,barbell_seated_overhead_press,SHOULDERS,SHOULDERS,UNCHANGED
0094,barbell_seated_twist,CORE,CORE,UNCHANGED
0095,barbell_shrug,BACK,BACK,UNCHANGED
0096,barbell_side_bent,CORE,CORE,UNCHANGED
0108,barbell_standing_leg_calf_raise,CALVES,CALVES,UNCHANGED
0111,barbell_standing_rocking_leg_calf_raise,CALVES,CALVES,UNCHANGED
0117,barbell_sumo_deadlift,GLUTES,GLUTES,UNCHANGED
0121,barbell_upright_row,SHOULDERS,SHOULDERS,UNCHANGED
0129,bench_dip_knees_bent,TRICEPS,TRICEPS,UNCHANGED
0130,bench_hip_extension,GLUTES,GLUTES,UNCHANGED
0137,body_up,TRICEPS,TRICEPS,UNCHANGED
0138,bottoms_up,CORE,CORE,UNCHANGED
0158,cable_decline_fly,CHEST,CHEST,UNCHANGED
0159,cable_decline_seated_wide_grip_row,BACK,BACK,UNCHANGED
0168,cable_hip_adduction,,ADDUCTORS,FILLED
0169,cable_incline_bench_press,CHEST,CHEST,UNCHANGED
0180,cable_low_seated_row,BACK,BACK,UNCHANGED
0199,cable_pushdown_straight_arm,BACK,BACK,UNCHANGED
0214,cable_seated_one_arm_alternate_row,BACK,BACK,UNCHANGED
0218,cable_seated_wide_grip_row,BACK,BACK,UNCHANGED
0228,cable_standing_hip_extension,GLUTES,GLUTES,UNCHANGED
0233,cable_standing_rear_delt_row_with_rope,SHOULDERS,SHOULDERS,UNCHANGED
0239,cable_straight_back_seated_row,BACK,BACK,UNCHANGED
0260,cocoons,CORE,CORE,UNCHANGED
0262,cross_body_crunch,CORE,CORE,UNCHANGED
0271,crunch_on_stability_ball,CORE,CORE,UNCHANGED
0272,crunch_on_stability_ball_arms_straight,CORE,CORE,UNCHANGED
0276,dead_bug,CORE,CORE,UNCHANGED
0285,dumbbell_alternate_biceps_curl,BICEPS,BICEPS,UNCHANGED
0287,dumbbell_arnold_press,SHOULDERS,SHOULDERS,UNCHANGED
0291,dumbbell_bench_squat,GLUTES,GLUTES,UNCHANGED
0292,dumbbell_one_arm_bent_over_row,BACK,BACK,UNCHANGED
0293,dumbbell_bent_over_row,BACK,BACK,UNCHANGED
0299,dumbbell_cuban_press,SHOULDERS,SHOULDERS,UNCHANGED
0300,dumbbell_deadlift,GLUTES,GLUTES,UNCHANGED
0303,dumbbell_decline_hammer_press,CHEST,CHEST,UNCHANGED
0314,dumbbell_incline_bench_press,CHEST,CHEST,UNCHANGED
0317,dumbbell_incline_curl,BICEPS,BICEPS,UNCHANGED
0321,dumbbell_incline_hammer_press,CHEST,CHEST,UNCHANGED
0326,dumbbell_incline_rear_lateral_raise,SHOULDERS,SHOULDERS,UNCHANGED
0327,dumbbell_incline_row,BACK,BACK,UNCHANGED
0371,dumbbell_plyo_squat,GLUTES,GLUTES,UNCHANGED
0379,dumbbell_rear_lateral_raise_support_head,SHOULDERS,SHOULDERS,UNCHANGED
0389,dumbbell_seated_bench_extension,TRICEPS,TRICEPS,UNCHANGED
0410,dumbbell_single_leg_split_squat,QUADRICEPS,QUADRICEPS,UNCHANGED
0443,elbow_to_knee,CORE,CORE,UNCHANGED
0456,flexion_leg_sit_up_bent_knee,CORE,CORE,UNCHANGED
0459,flutter_kicks,GLUTES,GLUTES,UNCHANGED
0469,groin_crunch,CORE,CORE,UNCHANGED
0513,jump_squat,GLUTES,GLUTES,UNCHANGED
0514,jump_squat_source_0514,GLUTES,GLUTES,UNCHANGED
0548,kettlebell_sumo_high_pull,BACK,BACK,UNCHANGED
0549,kettlebell_swing,GLUTES,GLUTES,UNCHANGED
0555,kick_out_sit,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0584,lever_lateral_raise,SHOULDERS,SHOULDERS,UNCHANGED
0585,lever_leg_extension,QUADRICEPS,QUADRICEPS,UNCHANGED
0586,lever_lying_leg_curl,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0596,lever_seated_fly,CHEST,CHEST,UNCHANGED
0597,lever_seated_hip_abduction,,ADDUCTORS,FILLED
0598,lever_seated_hip_adduction,GLUTES,GLUTES,UNCHANGED
0601,lever_seated_reverse_fly_parallel_grip,SHOULDERS,SHOULDERS,UNCHANGED
0602,lever_seated_reverse_fly,SHOULDERS,SHOULDERS,UNCHANGED
0620,lying_leg_raise_flat_bench,CORE,CORE,UNCHANGED
0628,monster_walk,GLUTES,GLUTES,UNCHANGED
0630,mountain_climber,CARDIO,CARDIO,UNCHANGED
0635,oblique_crunches_floor,CORE,CORE,UNCHANGED
0659,push_up_wall,CHEST,CHEST,UNCHANGED
0668,rear_decline_bridge,GLUTES,GLUTES,UNCHANGED
0684,run_equipment,CARDIO,CARDIO,UNCHANGED
0689,seated_leg_raise,CORE,CORE,UNCHANGED
0691,seated_side_crunch_wall,CORE,CORE,UNCHANGED
0705,side_bridge,CORE,CORE,UNCHANGED
0709,side_hip_on_parallel_bars,CORE,CORE,UNCHANGED
0710,side_hip_abduction,GLUTES,GLUTES,UNCHANGED
0730,single_leg_platform_slide,HAMSTRINGS,HAMSTRINGS,UNCHANGED
0740,sled_45_degree_leg_wide_press,GLUTES,GLUTES,UNCHANGED
