experiment_id,split_type,ablation_id,model_id,method,feature,importance_mean,importance_std
time_A1_logreg,time,A1,logreg,logistic_coefficient,experience_level_code_ADVANCED,1.0872738419496693,
time_A1_logreg,time,A1,logreg,logistic_coefficient,experience_level_code_BEGINNER,-0.7956282424823371,
time_A1_logreg,time,A1,logreg,logistic_coefficient,experience_level_code_INTERMEDIATE,-0.26830435168426575,
time_A1_logreg,time,A1,logreg,logistic_coefficient,day_of_week,0.0025980602262117105,
time_A1_logreg,time,A1,logreg,logistic_coefficient,is_weekend,-0.3611162669179869,
time_A2_logreg,time,A2,logreg,logistic_coefficient,experience_level_code_ADVANCED,0.6849067525435768,
time_A2_logreg,time,A2,logreg,logistic_coefficient,experience_level_code_BEGINNER,-0.47146340555067073,
time_A2_logreg,time,A2,logreg,logistic_coefficient,experience_level_code_INTERMEDIATE,-0.14043819656163195,
time_A2_logreg,time,A2,logreg,logistic_coefficient,day_of_week,-0.0043791017711529035,
time_A2_logreg,time,A2,logreg,logistic_coefficient,is_weekend,-0.3624657917233827,
time_A2_logreg,time,A2,logreg,logistic_coefficient,workout_completed_prev_day,-0.012461321476365627,
time_A2_logreg,time,A2,logreg,logistic_coefficient,workout_count_7d,0.11180384186171285,
time_A2_logreg,time,A2,logreg,logistic_coefficient,workout_count_28d,0.033055973470545605,
time_A2_logreg,time,A2,logreg,logistic_coefficient,completion_rate_7d,-0.14609243729597682,
time_A2_logreg,time,A2,logreg,logistic_coefficient,completion_rate_28d,0.3486582003986381,
time_A2_logreg,time,A2,logreg,logistic_coefficient,days_since_last_workout,-0.21539002272771798,
time_A2_logreg,time,A2,logreg,logistic_coefficient,consecutive_workout_days,0.07060147284626,
time_A2_logreg,time,A2,logreg,logistic_coefficient,consecutive_non_workout_days,0.19940500046744983,
time_A2_logreg,time,A2,logreg,logistic_coefficient,is_return_mode_candidate,0.02637678055082215,
time_A3_logreg,time,A3,logreg,logistic_coefficient,experience_level_code_ADVANCED,0.6859914516384353,
time_A3_logreg,time,A3,logreg,logistic_coefficient,experience_level_code_BEGINNER,-0.4765897137476181,
time_A3_logreg,time,A3,logreg,logistic_coefficient,experience_level_code_INTERMEDIATE,-0.15024651790294724,
time_A3_logreg,time,A3,logreg,logistic_coefficient,resting_hr_trend_code_prev_day_DOWNWARD,0.02441189684767238,
time_A3_logreg,time,A3,logreg,logistic_coefficient,resting_hr_trend_code_prev_day_STABLE,0.010764492435610954,
time_A3_logreg,time,A3,logreg,logistic_coefficient,resting_hr_trend_code_prev_day_UPWARD,-0.0009306145851887959,
time_A3_logreg,time,A3,logreg,logistic_coefficient,resting_hr_trend_code_prev_day___MISSING__,0.024909445289776105,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_CrossFit,0.024810701332063822,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Cycling,-0.08033653810504673,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_HIIT,0.04812325212885985,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_NONE,0.013593005607481662,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Running,-0.011874592210024482,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Swimming,-0.01048514871677106,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Walking,0.08079851794661037,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Weight Training,-0.027113284386181196,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day_Yoga,-0.0032701388988984905,
time_A3_logreg,time,A3,logreg,logistic_coefficient,last_workout_type_code_prev_day___MISSING__,0.024909445289776105,
time_A3_logreg,time,A3,logreg,logistic_coefficient,day_of_week,-0.006127352741478253,
time_A3_logreg,time,A3,logreg,logistic_coefficient,is_weekend,-0.36116424742060244,
time_A3_logreg,time,A3,logreg,logistic_coefficient,workout_completed_prev_day,-0.022464292281122712,
time_A3_logreg,time,A3,logreg,logistic_coefficient,workout_count_7d,0.10652896787144847,
time_A3_logreg,time,A3,logreg,logistic_coefficient,workout_count_28d,0.03669668025761782,
time_A3_logreg,time,A3,logreg,logistic_coefficient,completion_rate_7d,-0.13747305185025402,
time_A3_logreg,time,A3,logreg,logistic_coefficient,completion_rate_28d,0.3396101210458171,
time_A3_logreg,time,A3,logreg,logistic_coefficient,days_since_last_workout,-0.21192994720406985,
time_A3_logreg,time,A3,logreg,logistic_coefficient,consecutive_workout_days,0.07017479756356583,
time_A3_logreg,time,A3,logreg,logistic_coefficient,consecutive_non_workout_days,0.19768857073131685,
time_A3_logreg,time,A3,logreg,logistic_coefficient,is_return_mode_candidate,0.02546390633820313,
time_A3_logreg,time,A3,logreg,logistic_coefficient,sleep_minutes_prev_day,0.00048817809526451804,
